series,level,date,value
Available Room Nights (Number),group,2008-01,886159.0
Available Room Nights (Number),group,2008-02,845049.0
Available Room Nights (Number),group,2008-03,903456.0
Available Room Nights (Number),group,2008-04,870588.0
Available Room Nights (Number),group,2008-05,900704.0
Available Room Nights (Number),group,2008-06,877230.0
Available Room Nights (Number),group,2008-07,901954.0
Available Room Nights (Number),group,2008-08,906200.0
Available Room Nights (Number),group,2008-09,883702.0
Available Room Nights (Number),group,2008-10,930784.0
Available Room Nights (Number),group,2008-11,899079.0
Available Room Nights (Number),group,2008-12,924389.0
Available Room Nights (Number),group,2009-01,935309.0
Available Room Nights (Number),group,2009-02,845470.0
Available Room Nights (Number),group,2009-03,938508.0
Available Room Nights (Number),group,2009-04,905951.0
Available Room Nights (Number),group,2009-05,936252.0
Available Room Nights (Number),group,2009-06,920686.0
Available Room Nights (Number),group,2009-07,981637.0
Available Room Nights (Number),group,2009-08,983279.0
Available Room Nights (Number),group,2009-09,963285.0
Available Room Nights (Number),group,2009-10,1007103.0
Available Room Nights (Number),group,2009-11,981592.0
Available Room Nights (Number),group,2009-12,1011345.0
Available Room Nights (Number),group,2010-01,1035954.0
Available Room Nights (Number),group,2010-02,958399.0
Available Room Nights (Number),group,2010-03,1053995.0
Available Room Nights (Number),group,2010-04,1016131.0
Available Room Nights (Number),group,2010-05,1057275.0
Available Room Nights (Number),group,2010-06,1019067.0
Available Room Nights (Number),group,2010-07,1140884.0
Available Room Nights (Number),group,2010-08,1208017.0
Available Room Nights (Number),group,2010-09,1167836.0
Available Room Nights (Number),group,2010-10,1215498.0
Available Room Nights (Number),group,2010-11,1185688.0
Available Room Nights (Number),group,2010-12,1218247.0
Available Room Nights (Number),group,2011-01,1212155.0
Available Room Nights (Number),group,2011-02,1111868.0
Available Room Nights (Number),group,2011-03,1228152.0
Available Room Nights (Number),group,2011-04,1173176.0
Available Room Nights (Number),group,2011-05,1209670.0
Available Room Nights (Number),group,2011-06,1168526.0
Available Room Nights (Number),group,2011-07,1215300.0
Available Room Nights (Number),group,2011-08,1267432.0
Available Room Nights (Number),group,2011-09,1231051.0
Available Room Nights (Number),group,2011-10,1271547.0
Available Room Nights (Number),group,2011-11,1237216.0
Available Room Nights (Number),group,2011-12,1269619.0
Available Room Nights (Number),group,2012-01,1271372.0
Available Room Nights (Number),group,2012-02,1191532.0
Available Room Nights (Number),group,2012-03,1270625.0
Available Room Nights (Number),group,2012-04,1243938.0
Available Room Nights (Number),group,2012-05,1278977.0
Available Room Nights (Number),group,2012-06,1250524.0
Available Room Nights (Number),group,2012-07,1293178.0
Available Room Nights (Number),group,2012-08,1284335.0
Available Room Nights (Number),group,2012-09,1266141.0
Available Room Nights (Number),group,2012-10,1318609.0
Available Room Nights (Number),group,2012-11,1291686.0
Available Room Nights (Number),group,2012-12,1332988.0
Available Room Nights (Number),group,2013-01,1326755.0
Available Room Nights (Number),group,2013-02,1204171.0
Available Room Nights (Number),group,2013-03,1352033.0
Available Room Nights (Number),group,2013-04,1326088.0
Available Room Nights (Number),group,2013-05,1370627.0
Available Room Nights (Number),group,2013-06,1332600.0
Available Room Nights (Number),group,2013-07,1378966.0
Available Room Nights (Number),group,2013-08,1375002.0
Available Room Nights (Number),group,2013-09,1377181.0
Available Room Nights (Number),group,2013-10,1423322.0
Available Room Nights (Number),group,2013-11,1387511.0
Available Room Nights (Number),group,2013-12,1430856.0
Available Room Nights (Number),group,2014-01,1437661.0
Available Room Nights (Number),group,2014-02,1299191.0
Available Room Nights (Number),group,2014-03,1428323.0
Available Room Nights (Number),group,2014-04,1427965.0
Available Room Nights (Number),group,2014-05,1480270.0
Available Room Nights (Number),group,2014-06,1425946.0
Available Room Nights (Number),group,2014-07,1466191.0
Available Room Nights (Number),group,2014-08,1495172.0
Available Room Nights (Number),group,2014-09,1433528.0
Available Room Nights (Number),group,2014-10,1491828.0
Available Room Nights (Number),group,2014-11,1457179.0
Available Room Nights (Number),group,2014-12,1500726.0
Available Room Nights (Number),group,2015-01,1485768.0
Available Room Nights (Number),group,2015-02,1361242.0
Available Room Nights (Number),group,2015-03,1508222.0
Available Room Nights (Number),group,2015-04,1449362.0
Available Room Nights (Number),group,2015-05,1497890.0
Available Room Nights (Number),group,2015-06,1462047.0
Available Room Nights (Number),group,2015-07,1512036.0
Available Room Nights (Number),group,2015-08,1553284.0
Available Room Nights (Number),group,2015-09,1509870.0
Available Room Nights (Number),group,2015-10,1567755.0
Available Room Nights (Number),group,2015-11,1518158.0
Available Room Nights (Number),group,2015-12,1553306.0
Available Room Nights (Number),group,2016-01,1559839.0
Available Room Nights (Number),group,2016-02,1470105.0
Available Room Nights (Number),group,2016-03,1566272.0
Available Room Nights (Number),group,2016-04,1515327.0
Available Room Nights (Number),group,2016-05,1556056.0
Available Room Nights (Number),group,2016-06,1549090.0
Available Room Nights (Number),group,2016-07,1651550.0
Available Room Nights (Number),group,2016-08,1658092.0
Available Room Nights (Number),group,2016-09,1647855.0
Available Room Nights (Number),group,2016-10,1690949.0
Available Room Nights (Number),group,2016-11,1632444.0
Available Room Nights (Number),group,2016-12,1688321.0
Available Room Nights (Number),group,2017-01,1680781.0
