series,level,mode,date,value
Africa,group,air,2008-01,7775
Africa,group,air,2008-02,4263
Africa,group,air,2008-03,6772
Africa,group,air,2008-04,6904
Africa,group,air,2008-05,5116
Africa,group,air,2008-06,5523
Africa,group,air,2008-07,6950
Africa,group,air,2008-08,6826
Africa,group,air,2008-09,5255
Africa,group,air,2008-10,6485
Africa,group,air,2008-11,5453
Africa,group,air,2008-12,8423
Africa,group,air,2009-01,5563
Africa,group,air,2009-02,3816
Africa,group,air,2009-03,4769
Africa,group,air,2009-04,5156
Africa,group,air,2009-05,4359
Africa,group,air,2009-06,4557
Africa,group,air,2009-07,6307
Africa,group,air,2009-08,5654
Africa,group,air,2009-09,4539
Africa,group,air,2009-10,5960
Africa,group,air,2009-11,5252
Africa,group,air,2009-12,8707
Africa,group,air,2010-01,6160
Africa,group,air,2010-02,3718
Africa,group,air,2010-03,5222
Africa,group,air,2010-04,5512
Africa,group,air,2010-05,4292
Africa,group,air,2010-06,4356
Africa,group,air,2010-07,5275
Africa,group,air,2010-08,6100
Africa,group,air,2010-09,5172
Africa,group,air,2010-10,5289
Africa,group,air,2010-11,5096
Africa,group,air,2010-12,8482
Africa,group,air,2011-01,6470
Africa,group,air,2011-02,3420
Africa,group,air,2011-03,4813
Africa,group,air,2011-04,5614
Africa,group,air,2011-05,3989
Africa,group,air,2011-06,4574
Africa,group,air,2011-07,6155
Africa,group,air,2011-08,4347
Africa,group,air,2011-09,5245
Africa,group,air,2011-10,5260
Africa,group,air,2011-11,4531
Africa,group,air,2011-12,7967
Africa,group,air,2012-01,4998
Africa,group,air,2012-02,3839
Africa,group,air,2012-03,5154
Africa,group,air,2012-04,5254
Africa,group,air,2012-05,3932
Africa,group,air,2012-06,4569
Africa,group,air,2012-07,4879
Africa,group,air,2012-08,4443
Africa,group,air,2012-09,4908
Africa,group,air,2012-10,4269
Africa,group,air,2012-11,4356
Africa,group,air,2012-12,7208
Africa,group,air,2013-01,5296
Africa,group,air,2013-02,3107
Africa,group,air,2013-03,4904
Africa,group,air,2013-04,4336
Africa,group,air,2013-05,3912
Africa,group,air,2013-06,4541
Africa,group,air,2013-07,4519
Africa,group,air,2013-08,4372
Africa,group,air,2013-09,5195
Africa,group,air,2013-10,4209
Africa,group,air,2013-11,4029
Africa,group,air,2013-12,8003
Africa,group,air,2014-01,4585
Africa,group,air,2014-02,3628
Africa,group,air,2014-03,4286
Africa,group,air,2014-04,5446
Africa,group,air,2014-05,3811
Africa,group,air,2014-06,3862
Africa,group,air,2014-07,4602
Africa,group,air,2014-08,5231
Africa,group,air,2014-09,4310
Africa,group,air,2014-10,3643
Africa,group,air,2014-11,4498
Africa,group,air,2014-12,7993
Africa,group,air,2015-01,4952
Africa,group,air,2015-02,2983
Africa,group,air,2015-03,4499
Africa,group,air,2015-04,5507
Africa,group,air,2015-05,3978
Africa,group,air,2015-06,3490
Africa,group,air,2015-07,4705
Africa,group,air,2015-08,5036
Africa,group,air,2015-09,4629
Africa,group,air,2015-10,4960
Africa,group,air,2015-11,4424
Africa,group,air,2015-12,7672
Africa,group,air,2016-01,5265
Africa,group,air,2016-02,3034
Africa,group,air,2016-03,5361
Africa,group,air,2016-04,5326
Africa,group,air,2016-05,4460
Africa,group,air,2016-06,3506
Africa,group,air,2016-07,5495
Africa,group,air,2016-08,5341
Africa,group,air,2016-09,4840
Africa,group,air,2016-10,5118
Africa,group,air,2016-11,5304
Africa,group,air,2016-12,8881
Africa,group,air,2017-01,5526
Africa,group,air,2017-02,3763
Africa,group,air,2017-03,4776
Africa,group,air,2017-04,6176
Africa,group,air,2017-05,4166
Africa,group,air,2017-06,3959
Africa,group,air,2017-07,6188
Africa,group,air,2017-08,5999
Africa,group,air,2017-09,4965
Africa,group,air,2017-10,5109
Africa,group,air,2017-11,5482
Africa,group,air,2017-12,9777
Africa,group,air,2018-01,6077
Africa,group,air,2018-02,3952
Africa,group,air,2018-03,5971
Africa,group,air,2018-04,6254
Africa,group,air,2018-05,4364
Africa,group,air,2018-06,4697
Africa,group,air,2018-07,7546
Africa,group,air,2018-08,6636
Africa,group,air,2018-09,5582
Africa,group,air,2018-10,5368
Africa,group,air,2018-11,5308
Africa,group,air,2018-12,10907
Africa,group,air,2019-01,5656
Africa,group,air,2019-02,3821
Africa,group,air,2019-03,5331
Africa,group,air,2019-04,6361
Africa,group,air,2019-05,4472
Africa,group,air,2019-06,6241
Africa,group,air,2019-07,6791
Africa,group,air,2019-08,7087
Africa,group,air,2019-09,7318
Africa,group,air,2019-10,6203
Africa,group,air,2019-11,6840
Africa,group,air,2019-12,13612
Africa,group,air,2020-01,7533
Africa,group,air,2020-02,3076
Africa,group,air,2020-03,1299
Africa,group,air,2020-04,3
Africa,group,air,2020-05,1
Africa,group,air,2020-06,7
Africa,group,air,2020-07,19
Africa,group,air,2020-08,54
Africa,group,air,2020-09,41
Africa,group,air,2020-10,48
Africa,group,air,2020-11,39
Africa,group,air,2020-12,59
Africa,group,air,2021-01,41
Africa,group,air,2021-02,35
Africa,group,air,2021-03,36
Africa,group,air,2021-04,34
Africa,group,air,2021-05,43
Africa,group,air,2021-06,8
Africa,group,air,2021-07,31
Africa,group,air,2021-08,54
Africa,group,air,2021-09,43
Africa,group,air,2021-10,71
Africa,group,air,2021-11,79
Africa,group,air,2021-12,74
Africa,group,air,2022-01,114
Africa,group,air,2022-02,58
Africa,group,air,2022-03,129
Africa,group,air,2022-04,785
Africa,group,air,2022-05,1228
Africa,group,air,2022-06,2064
