series,level,freq,date,value
1 Day (Number),group,monthly,2008-01,200558.0
1 Day (Number),group,monthly,2008-02,182686.0
1 Day (Number),group,monthly,2008-03,193919.0
1 Day (Number),group,monthly,2008-04,176681.0
1 Day (Number),group,monthly,2008-05,164344.0
1 Day (Number),group,monthly,2008-06,151590.0
1 Day (Number),group,monthly,2008-07,178350.0
1 Day (Number),group,monthly,2008-08,173678.0
1 Day (Number),group,monthly,2008-09,135516.0
1 Day (Number),group,monthly,2008-10,171945.0
1 Day (Number),group,monthly,2008-11,155611.0
1 Day (Number),group,monthly,2008-12,157740.0
1 Day (Number),group,monthly,2009-01,167794.0
1 Day (Number),group,monthly,2009-02,146262.0
1 Day (Number),group,monthly,2009-03,170752.0
1 Day (Number),group,monthly,2009-04,164494.0
1 Day (Number),group,monthly,2009-05,137809.0
1 Day (Number),group,monthly,2009-06,126746.0
1 Day (Number),group,monthly,2009-07,156020.0
1 Day (Number),group,monthly,2009-08,161198.0
1 Day (Number),group,monthly,2009-09,149274.0
1 Day (Number),group,monthly,2009-10,170801.0
1 Day (Number),group,monthly,2009-11,174131.0
1 Day (Number),group,monthly,2009-12,182070.0
1 Day (Number),group,monthly,2010-01,198897.0
1 Day (Number),group,monthly,2010-02,194632.0
1 Day (Number),group,monthly,2010-03,187827.0
1 Day (Number),group,monthly,2010-04,177135.0
1 Day (Number),group,monthly,2010-05,166869.0
1 Day (Number),group,monthly,2010-06,153825.0
1 Day (Number),group,monthly,2010-07,187872.0
1 Day (Number),group,monthly,2010-08,189310.0
1 Day (Number),group,monthly,2010-09,167553.0
1 Day (Number),group,monthly,2010-10,182860.0
1 Day (Number),group,monthly,2010-11,189072.0
1 Day (Number),group,monthly,2010-12,192549.0
1 Day (Number),group,monthly,2011-01,212905.0
1 Day (Number),group,monthly,2011-02,201457.0
1 Day (Number),group,monthly,2011-03,216848.0
1 Day (Number),group,monthly,2011-04,206157.0
1 Day (Number),group,monthly,2011-05,194834.0
1 Day (Number),group,monthly,2011-06,182967.0
