series,level,date,value
Africa,group,2008-01,9504
Africa,group,2008-02,5022
Africa,group,2008-03,7734
Africa,group,2008-04,7903
Africa,group,2008-05,5910
Africa,group,2008-06,6431
Africa,group,2008-07,8293
Africa,group,2008-08,8727
Africa,group,2008-09,6013
Africa,group,2008-10,7873
Africa,group,2008-11,6482
Africa,group,2008-12,10628
Africa,group,2009-01,6874
Africa,group,2009-02,4438
Africa,group,2009-03,5570
Africa,group,2009-04,6044
Africa,group,2009-05,5007
Africa,group,2009-06,5626
Africa,group,2009-07,7357
Africa,group,2009-08,6801
Africa,group,2009-09,5101
Africa,group,2009-10,6693
Africa,group,2009-11,6248
Africa,group,2009-12,10506
Africa,group,2010-01,7363
Africa,group,2010-02,4418
Africa,group,2010-03,5907
Africa,group,2010-04,6449
Africa,group,2010-05,4999
Africa,group,2010-06,5095
Africa,group,2010-07,6376
Africa,group,2010-08,6994
Africa,group,2010-09,5739
Africa,group,2010-10,6013
Africa,group,2010-11,5830
Africa,group,2010-12,10205
Africa,group,2011-01,7843
Africa,group,2011-02,3897
Africa,group,2011-03,5521
Africa,group,2011-04,6525
Africa,group,2011-05,4536
Africa,group,2011-06,5249
Africa,group,2011-07,7454
Africa,group,2011-08,5200
Africa,group,2011-09,5934
Africa,group,2011-10,6042
Africa,group,2011-11,5403
Africa,group,2011-12,9634
Africa,group,2012-01,6107
Africa,group,2012-02,4508
Africa,group,2012-03,5855
Africa,group,2012-04,6211
Africa,group,2012-05,4451
Africa,group,2012-06,5083
Africa,group,2012-07,5809
Africa,group,2012-08,5106
Africa,group,2012-09,5498
Africa,group,2012-10,4910
Africa,group,2012-11,5397
Africa,group,2012-12,8884
Africa,group,2013-01,6338
Africa,group,2013-02,3659
Africa,group,2013-03,5755
Africa,group,2013-04,5056
Africa,group,2013-05,4506
Africa,group,2013-06,5298
Africa,group,2013-07,5242
Africa,group,2013-08,5357
Africa,group,2013-09,5852
Africa,group,2013-10,4917
Africa,group,2013-11,4932
Africa,group,2013-12,9575
Africa,group,2014-01,5729
Africa,group,2014-02,4238
Africa,group,2014-03,4948
Africa,group,2014-04,6291
Africa,group,2014-05,4305
Africa,group,2014-06,4382
Africa,group,2014-07,5435
Africa,group,2014-08,6468
Africa,group,2014-09,4846
Africa,group,2014-10,4191
Africa,group,2014-11,5507
Africa,group,2014-12,9594
Africa,group,2015-01,6377
Africa,group,2015-02,3562
Africa,group,2015-03,5138
Africa,group,2015-04,6410
Africa,group,2015-05,4663
Africa,group,2015-06,4051
Africa,group,2015-07,5383
Africa,group,2015-08,6102
Africa,group,2015-09,5206
Africa,group,2015-10,5857
Africa,group,2015-11,5417
Africa,group,2015-12,9136
Africa,group,2016-01,6364
Africa,group,2016-02,3591
Africa,group,2016-03,6045
Africa,group,2016-04,6308
Africa,group,2016-05,4941
Africa,group,2016-06,3932
Africa,group,2016-07,6165
Africa,group,2016-08,6478
Africa,group,2016-09,5308
Africa,group,2016-10,6015
Africa,group,2016-11,6478
Africa,group,2016-12,10784
Africa,group,2017-01,7040
Africa,group,2017-02,4403
Africa,group,2017-03,5566
Africa,group,2017-04,7195
Africa,group,2017-05,4787
Africa,group,2017-06,4427
Africa,group,2017-07,6948
Africa,group,2017-08,6979
Africa,group,2017-09,5451
Africa,group,2017-10,5627
Africa,group,2017-11,6705
Africa,group,2017-12,11583
Africa,group,2018-01,7433
Africa,group,2018-02,4715
Africa,group,2018-03,6648
Africa,group,2018-04,7346
Africa,group,2018-05,4851
Africa,group,2018-06,5287
Africa,group,2018-07,8256
Africa,group,2018-08,7834
Africa,group,2018-09,6146
Africa,group,2018-10,6129
Africa,group,2018-11,6088
Africa,group,2018-12,13072
Africa,group,2019-01,7083
Africa,group,2019-02,4480
Africa,group,2019-03,6106
Africa,group,2019-04,7247
Africa,group,2019-05,4961
Africa,group,2019-06,6787
Africa,group,2019-07,7548
Africa,group,2019-08,8289
Africa,group,2019-09,7961
Africa,group,2019-10,6697
Africa,group,2019-11,7472
Africa,group,2019-12,16335
Africa,group,2020-01,9271
Africa,group,2020-02,3435
Africa,group,2020-03,1381
Africa,group,2020-04,3
Africa,group,2020-05,1
Africa,group,2020-06,9
Africa,group,2020-07,19
Africa,group,2020-08,55
Africa,group,2020-09,41
Africa,group,2020-10,49
Africa,group,2020-11,39
Africa,group,2020-12,61
Africa,group,2021-01,42
Africa,group,2021-02,35
Africa,group,2021-03,36
Africa,group,2021-04,35
Africa,group,2021-05,44
Africa,group,2021-06,8
Africa,group,2021-07,31
Africa,group,2021-08,54
Africa,group,2021-09,43
Africa,group,2021-10,71
Africa,group,2021-11,79
Africa,group,2021-12,74
Africa,group,2022-01,114
Africa,group,2022-02,58
Africa,group,2022-03,129
Africa,group,2022-04,814
Africa,group,2022-05,1300
Africa,group,2022-06,2184
Africa,group,2022-07,2582
Africa,group,2022-08,2903
Africa,group,2022-09,3713
Africa,group,2022-10,3738
Africa,group,2022-11,4266
Africa,group,2022-12,6334
Africa,group,2023-01,4182
Africa,group,2023-02,4073
Africa,group,2023-03,4300
Africa,group,2023-04,4812
Africa,group,2023-05,4515
Africa,group,2023-06,4575
Africa,group,2023-07,5926
Africa,group,2023-08,6132
Africa,group,2023-09,5582
Africa,group,2023-10,5233
Africa,group,2023-11,4995
Africa,group,2023-12,8874
Africa,group,2024-01,6104
Africa,group,2024-02,3973
Africa,group,2024-03,5175
Africa,group,2024-04,4851
Africa,group,2024-05,6689
Africa,group,2024-06,5393
Africa,group,2024-07,6104
Africa,group,2024-08,7027
Africa,group,2024-09,6193
Africa,group,2024-10,5324
Africa,group,2024-11,5659
Africa,group,2024-12,11486
Africa,group,2025-01,6525
Africa,group,2025-02,4378
Africa,group,2025-03,4662
Africa,group,2025-04,6784
Africa,group,2025-05,5653
Africa,group,2025-06,5509
Africa,group,2025-07,8690
Africa,group,2025-08,9569
Africa,group,2025-09,6714
Africa,group,2025-10,8340
Africa,group,2025-11,7634
Africa,group,2025-12,14136
Africa,group,2026-01,7717
Africa,group,2026-02,4571
Africa,group,2026-03,5866
Africa,group,2026-04,7611
Africa,group,2026-05,6344
Africa,group,2026-06,6519
Americas,group,2008-01,47540
Americas,group,2008-02,42718
Americas,group,2008-03,50240
Americas,group,2008-04,39477
Americas,group,2008-05,38871
Americas,group,2008-06,42579
Americas,group,2008-07,48591
Americas,group,2008-08,40453
Americas,group,2008-09,31823
Americas,group,2008-10,41640
Americas,group,2008-11,40132
Americas,group,2008-12,41347
Americas,group,2009-01,38044
Americas,group,2009-02,35014
Americas,group,2009-03,41421
Americas,group,2009-04,36347
Americas,group,2009-05,33982
Americas,group,2009-06,39140
Americas,group,2009-07,45315
Americas,group,2009-08,40065
Americas,group,2009-09,30958
Americas,group,2009-10,41428
Americas,group,2009-11,43839
Americas,group,2009-12,42170
Americas,group,2010-01,44900
Americas,group,2010-02,39669
Americas,group,2010-03,46657
Americas,group,2010-04,43034
Americas,group,2010-05,40131
Americas,group,2010-06,46349
Americas,group,2010-07,50467
Americas,group,2010-08,44148
Americas,group,2010-09,34775
Americas,group,2010-10,45972
Americas,group,2010-11,43978
Americas,group,2010-12,44765
Americas,group,2011-01,49308
Americas,group,2011-02,43634
Americas,group,2011-03,56454
Americas,group,2011-04,45449
Americas,group,2011-05,43167
Americas,group,2011-06,47880
Americas,group,2011-07,53651
Americas,group,2011-08,43227
Americas,group,2011-09,37354
Americas,group,2011-10,47929
Americas,group,2011-11,48158
Americas,group,2011-12,47529
Americas,group,2012-01,51653
Americas,group,2012-02,54048
Americas,group,2012-03,60074
Americas,group,2012-04,47323
Americas,group,2012-05,46711
Americas,group,2012-06,52552
Americas,group,2012-07,55947
Americas,group,2012-08,46622
Americas,group,2012-09,41010
Americas,group,2012-10,50635
Americas,group,2012-11,52501
Americas,group,2012-12,57292
Americas,group,2013-01,61382
Americas,group,2013-02,54112
Americas,group,2013-03,62006
Americas,group,2013-04,52338
Americas,group,2013-05,47760
Americas,group,2013-06,56119
Americas,group,2013-07,56981
Americas,group,2013-08,49860
Americas,group,2013-09,43109
Americas,group,2013-10,50079
Americas,group,2013-11,51911
Americas,group,2013-12,55788
Americas,group,2014-01,60370
Americas,group,2014-02,58987
Americas,group,2014-03,66875
Americas,group,2014-04,48811
Americas,group,2014-05,46359
Americas,group,2014-06,50633
Americas,group,2014-07,54556
Americas,group,2014-08,47977
Americas,group,2014-09,42437
Americas,group,2014-10,47969
Americas,group,2014-11,52340
Americas,group,2014-12,57955
Americas,group,2015-01,64780
Americas,group,2015-02,57924
Americas,group,2015-03,64764
Americas,group,2015-04,49143
Americas,group,2015-05,48014
Americas,group,2015-06,55325
Americas,group,2015-07,56521
Americas,group,2015-08,49942
Americas,group,2015-09,42354
Americas,group,2015-10,52973
Americas,group,2015-11,55155
Americas,group,2015-12,60391
Americas,group,2016-01,66988
Americas,group,2016-02,58800
Americas,group,2016-03,63521
Americas,group,2016-04,52570
Americas,group,2016-05,50578
Americas,group,2016-06,56233
Americas,group,2016-07,59258
Americas,group,2016-08,48661
Americas,group,2016-09,42901
Americas,group,2016-10,53083
Americas,group,2016-11,60401
Americas,group,2016-12,67650
Americas,group,2017-01,72376
Americas,group,2017-02,68575
Americas,group,2017-03,72468
Americas,group,2017-04,55814
Americas,group,2017-05,54290
Americas,group,2017-06,64461
Americas,group,2017-07,66833
Americas,group,2017-08,53414
Americas,group,2017-09,48313
Americas,group,2017-10,54388
Americas,group,2017-11,74042
Americas,group,2017-12,73679
Americas,group,2018-01,81781
Americas,group,2018-02,76079
Americas,group,2018-03,85412
Americas,group,2018-04,69578
Americas,group,2018-05,62094
Americas,group,2018-06,70116
Americas,group,2018-07,76827
Americas,group,2018-08,60752
Americas,group,2018-09,56056
Americas,group,2018-10,62266
Americas,group,2018-11,75548
Americas,group,2018-12,85208
Americas,group,2019-01,92393
Americas,group,2019-02,77043
Americas,group,2019-03,91115
Americas,group,2019-04,75440
Americas,group,2019-05,69238
Americas,group,2019-06,81305
Americas,group,2019-07,88663
Americas,group,2019-08,71328
Americas,group,2019-09,64342
Americas,group,2019-10,68654
Americas,group,2019-11,82972
Americas,group,2019-12,100218
Americas,group,2020-01,98790
Americas,group,2020-02,53615
Americas,group,2020-03,15567
Americas,group,2020-04,13
Americas,group,2020-05,38
Americas,group,2020-06,153
Americas,group,2020-07,443
Americas,group,2020-08,506
Americas,group,2020-09,443
Americas,group,2020-10,506
Americas,group,2020-11,522
Americas,group,2020-12,656
Americas,group,2021-01,669
Americas,group,2021-02,523
Americas,group,2021-03,582
Americas,group,2021-04,684
Americas,group,2021-05,342
Americas,group,2021-06,245
Americas,group,2021-07,777
Americas,group,2021-08,1001
Americas,group,2021-09,867
Americas,group,2021-10,1092
Americas,group,2021-11,2231
Americas,group,2021-12,4590
Americas,group,2022-01,2928
Americas,group,2022-02,4442
Americas,group,2022-03,6521
Americas,group,2022-04,14729
Americas,group,2022-05,25106
Americas,group,2022-06,36723
Americas,group,2022-07,47365
Americas,group,2022-08,44100
Americas,group,2022-09,46342
Americas,group,2022-10,49922
Americas,group,2022-11,61086
Americas,group,2022-12,67342
Americas,group,2023-01,67902
Americas,group,2023-02,72702
Americas,group,2023-03,73624
Americas,group,2023-04,61029
Americas,group,2023-05,70426
Americas,group,2023-06,70361
Americas,group,2023-07,81637
Americas,group,2023-08,62996
Americas,group,2023-09,62765
Americas,group,2023-10,60726
Americas,group,2023-11,80020
Americas,group,2023-12,83791
Americas,group,2024-01,84236
Americas,group,2024-02,81005
Americas,group,2024-03,85427
Americas,group,2024-04,68988
Americas,group,2024-05,73314
Americas,group,2024-06,75679
Americas,group,2024-07,82707
Americas,group,2024-08,67753
Americas,group,2024-09,64689
Americas,group,2024-10,69879
Americas,group,2024-11,86005
Americas,group,2024-12,84452
Americas,group,2025-01,97422
Americas,group,2025-02,89921
Americas,group,2025-03,94760
Americas,group,2025-04,74503
Americas,group,2025-05,65892
Americas,group,2025-06,76490
Americas,group,2025-07,86787
Americas,group,2025-08,67200
Americas,group,2025-09,60482
Americas,group,2025-10,70842
Americas,group,2025-11,87880
Americas,group,2025-12,94886
Americas,group,2026-01,99809
Americas,group,2026-02,85810
Americas,group,2026-03,100338
Americas,group,2026-04,82301
Americas,group,2026-05,68019
Americas,group,2026-06,73490
Australia,item,2008-01,82778
Australia,item,2008-02,52457
Australia,item,2008-03,61681
Australia,item,2008-04,63079
Australia,item,2008-05,65901
Australia,item,2008-06,73802
Australia,item,2008-07,79776
Australia,item,2008-08,65465
Australia,item,2008-09,72816
Australia,item,2008-10,75866
Australia,item,2008-11,60257
Australia,item,2008-12,79278
Australia,item,2009-01,80008
Australia,item,2009-02,51144
Australia,item,2009-03,54821
Australia,item,2009-04,65046
Australia,item,2009-05,59136
Australia,item,2009-06,65796
Australia,item,2009-07,79439
Australia,item,2009-08,67152
Australia,item,2009-09,73407
Australia,item,2009-10,81622
Australia,item,2009-11,68570
Australia,item,2009-12,84158
Australia,item,2010-01,89584
Australia,item,2010-02,55364
Australia,item,2010-03,63659
Australia,item,2010-04,70079
Australia,item,2010-05,63517
