series,level,date,value
15-19 Years,group,2008-01,32399
15-19 Years,group,2008-02,23820
15-19 Years,group,2008-03,23576
15-19 Years,group,2008-04,19998
15-19 Years,group,2008-05,22357
15-19 Years,group,2008-06,32644
15-19 Years,group,2008-07,48543
15-19 Years,group,2008-08,34974
15-19 Years,group,2008-09,19413
15-19 Years,group,2008-10,31181
15-19 Years,group,2008-11,25954
15-19 Years,group,2008-12,46368
15-19 Years,group,2009-01,31846
15-19 Years,group,2009-02,17887
15-19 Years,group,2009-03,19862
15-19 Years,group,2009-04,22315
15-19 Years,group,2009-05,19041
15-19 Years,group,2009-06,29648
15-19 Years,group,2009-07,43909
15-19 Years,group,2009-08,32554
15-19 Years,group,2009-09,23029
15-19 Years,group,2009-10,23023
15-19 Years,group,2009-11,21660
15-19 Years,group,2009-12,47016
15-19 Years,group,2010-01,28575
15-19 Years,group,2010-02,26685
15-19 Years,group,2010-03,23263
15-19 Years,group,2010-04,26416
15-19 Years,group,2010-05,28673
15-19 Years,group,2010-06,38945
15-19 Years,group,2010-07,57065
15-19 Years,group,2010-08,44605
15-19 Years,group,2010-09,28618
15-19 Years,group,2010-10,26936
15-19 Years,group,2010-11,27260
15-19 Years,group,2010-12,55429
15-19 Years,group,2011-01,38282
15-19 Years,group,2011-02,30195
15-19 Years,group,2011-03,26769
15-19 Years,group,2011-04,34485
15-19 Years,group,2011-05,32301
15-19 Years,group,2011-06,44949
15-19 Years,group,2011-07,68919
15-19 Years,group,2011-08,54015
15-19 Years,group,2011-09,26520
15-19 Years,group,2011-10,33370
15-19 Years,group,2011-11,29905
15-19 Years,group,2011-12,60591
15-19 Years,group,2012-01,48926
15-19 Years,group,2012-02,29095
15-19 Years,group,2012-03,31447
15-19 Years,group,2012-04,34900
15-19 Years,group,2012-05,33576
15-19 Years,group,2012-06,48265
15-19 Years,group,2012-07,70137
15-19 Years,group,2012-08,64926
15-19 Years,group,2012-09,23074
15-19 Years,group,2012-10,31440
15-19 Years,group,2012-11,35396
15-19 Years,group,2012-12,63515
15-19 Years,group,2013-01,45862
15-19 Years,group,2013-02,37086
15-19 Years,group,2013-03,37010
15-19 Years,group,2013-04,32431
15-19 Years,group,2013-05,37239
15-19 Years,group,2013-06,50131
15-19 Years,group,2013-07,75622
15-19 Years,group,2013-08,72410
15-19 Years,group,2013-09,24547
15-19 Years,group,2013-10,37485
15-19 Years,group,2013-11,34066
15-19 Years,group,2013-12,68895
15-19 Years,group,2014-01,53487
15-19 Years,group,2014-02,34139
15-19 Years,group,2014-03,31314
15-19 Years,group,2014-04,35496
15-19 Years,group,2014-05,35068
15-19 Years,group,2014-06,52373
15-19 Years,group,2014-07,73859
15-19 Years,group,2014-08,58666
15-19 Years,group,2014-09,24123
15-19 Years,group,2014-10,38128
15-19 Years,group,2014-11,29693
15-19 Years,group,2014-12,67350
15-19 Years,group,2015-01,47226
15-19 Years,group,2015-02,35267
15-19 Years,group,2015-03,32562
15-19 Years,group,2015-04,32748
15-19 Years,group,2015-05,35165
15-19 Years,group,2015-06,50513
15-19 Years,group,2015-07,86622
15-19 Years,group,2015-08,64984
15-19 Years,group,2015-09,26068
15-19 Years,group,2015-10,35151
15-19 Years,group,2015-11,32077
15-19 Years,group,2015-12,70185
15-19 Years,group,2016-01,51593
15-19 Years,group,2016-02,38027
15-19 Years,group,2016-03,35815
15-19 Years,group,2016-04,33387
15-19 Years,group,2016-05,38269
15-19 Years,group,2016-06,52419
15-19 Years,group,2016-07,93056
15-19 Years,group,2016-08,67356
15-19 Years,group,2016-09,26635
15-19 Years,group,2016-10,36372
15-19 Years,group,2016-11,33171
15-19 Years,group,2016-12,68362
15-19 Years,group,2017-01,55632
15-19 Years,group,2017-02,33139
15-19 Years,group,2017-03,32638
15-19 Years,group,2017-04,41091
15-19 Years,group,2017-05,40469
15-19 Years,group,2017-06,63690
15-19 Years,group,2017-07,94150
15-19 Years,group,2017-08,70806
15-19 Years,group,2017-09,28441
15-19 Years,group,2017-10,41561
15-19 Years,group,2017-11,38333
15-19 Years,group,2017-12,72122
15-19 Years,group,2018-01,50016
15-19 Years,group,2018-02,44122
15-19 Years,group,2018-03,39771
15-19 Years,group,2018-04,38602
15-19 Years,group,2018-05,43416
15-19 Years,group,2018-06,71372
15-19 Years,group,2018-07,96938
15-19 Years,group,2018-08,75601
15-19 Years,group,2018-09,30000
15-19 Years,group,2018-10,45341
15-19 Years,group,2018-11,42538
15-19 Years,group,2018-12,70939
15-19 Years,group,2019-01,59041
15-19 Years,group,2019-02,40839
