market,s1_t3_t1_growth_delta,s2_food_lux_growth_delta,s3_t3_level_2025,s1_t3_t1_growth_delta_scaled,s2_food_lux_growth_delta_scaled,s3_t3_level_2025_scaled,uniqueness_score
Thailand,35.67347704870423,19.864626173289274,50.27322404371585,1.0,0.676558503297533,0.6991043838055833,0.7918876290343722
Italy,26.307625035188725,-18.934595497038806,53.813559322033896,0.7937767662359052,0.5651897805097741,0.9400281583364919,0.7663315683607238
Netherlands,32.12367250470134,-48.618221806345076,52.74151436031331,0.9218381657922464,0.47998633035126986,0.8670742999190846,0.7562995986875336
Switzerland,33.78182914193468,-76.53230192914347,53.333333333333336,0.9583485039146298,0.39986215988501894,0.9073482428115016,0.7551863022037167
UK,23.370613887060202,-9.781502951955833,53.48837209302325,0.7291078033167572,0.5914626845119596,0.9178988037744256,0.7461564305343807
France,19.13611022002411,-7.416482648290284,54.694835680751176,0.6358698321912319,0.5982512044679611,1.0,0.744707012219731
Hong Kong SAR,28.267131518566245,54.81412396542647,47.51552795031056,0.8369224152383329,0.7768770345365387,0.5114400809636261,0.7084131769128326
China,25.444615151460937,132.54687675326153,44.66019417475729,0.7747744705840098,1.0,0.31713142467198147,0.6973019650853304
Australia,22.896303248182093,-28.946645300608417,49.57507082152974,0.7186641326697081,0.5364513380589115,0.6515942763533018,0.6355699156939738
Vietnam,22.636695022508516,61.69384153330181,44.95412844036697,0.7129479151026455,0.796624475997735,0.33713398012720924,0.6155687904091965
Philippines,26.12540356275751,15.027440861037478,43.037974683544306,0.7897644989854944,0.6626739167795211,0.2067375743114815,0.5530586633588324
USA,10.562887197547138,-42.01755198396231,48.93617021276596,0.4470992032164564,0.4989327972136361,0.6081163755013255,0.518049458643806
Canada,4.527069153877114,-40.61343757796338,50.59665871121718,0.3141987566173548,0.5029631468266433,0.7211144745972075,0.5127587926804019
New Zealand,5.113808154424741,-47.84829265034494,50.0,0.32711794580525094,0.48219632382663813,0.6805111821086262,0.49660848391350515
Indonesia,19.331127511651246,15.2397519543384,42.07920792079208,0.6401638458550425,0.6632833314604522,0.14149242400278364,0.4816465337727594
Japan,6.524973745585356,-15.682870698014046,45.90643274853801,0.3581898793747553,0.5745234841804747,0.4019393531752702,0.44488423891016676
Malaysia,29.050898353328016,-215.83838527645366,46.913580246913575,0.8541798874841444,0.0,0.4704768666430004,0.4415522513757149
India,12.870946933237068,21.733267837988663,40.0,0.4979195174524509,0.6819222252122102,0.0,0.3932805808882203
South Korea,-9.742608435773185,83.63654173206976,41.94915254237288,0.0,0.8596084841929392,0.13264201007202017,0.3307501647549865
