series,level,date,value
Air,group,2011-01,403091
Air,group,2011-02,418658
Air,group,2011-03,493565
Air,group,2011-04,454456
Air,group,2011-05,512788
Air,group,2011-06,598743
Air,group,2011-07,447246
Air,group,2011-08,424227
Air,group,2011-09,496243
Air,group,2011-10,486524
Air,group,2011-11,598638
Air,group,2011-12,748441
Air,group,2012-01,454129
Air,group,2012-02,422488
Air,group,2012-03,547932
Air,group,2012-04,500320
Air,group,2012-05,550627
Air,group,2012-06,624639
Air,group,2012-07,451896
Air,group,2012-08,453977
Air,group,2012-09,498279
Air,group,2012-10,536331
Air,group,2012-11,661194
Air,group,2012-12,783456
Air,group,2013-01,431617
Air,group,2013-02,466876
Air,group,2013-03,583066
Air,group,2013-04,492933
Air,group,2013-05,561989
Air,group,2013-06,703498
Air,group,2013-07,476835
Air,group,2013-08,501336
Air,group,2013-09,561024
Air,group,2013-10,589119
Air,group,2013-11,728060
Air,group,2013-12,864075
Air,group,2014-01,492364
Air,group,2014-02,448791
Air,group,2014-03,604105
Air,group,2014-04,539291
Air,group,2014-05,595285
Air,group,2014-06,725083
Air,group,2014-07,487019
Air,group,2014-08,494973
Air,group,2014-09,580512
Air,group,2014-10,614387
Air,group,2014-11,716594
Air,group,2014-12,865374
Air,group,2015-01,476524
Air,group,2015-02,481183
Air,group,2015-03,616144
Air,group,2015-04,562934
Air,group,2015-05,633056
Air,group,2015-06,709001
Air,group,2015-07,509449
Air,group,2015-08,532272
Air,group,2015-09,590148
Air,group,2015-10,589746
Air,group,2015-11,750693
Air,group,2015-12,920227
Air,group,2016-01,497410
Air,group,2016-02,542520
Air,group,2016-03,675124
Air,group,2016-04,600065
Air,group,2016-05,652406
Air,group,2016-06,728965
Air,group,2016-07,532170
Air,group,2016-08,519051
Air,group,2016-09,647384
Air,group,2016-10,627721
Air,group,2016-11,773054
Air,group,2016-12,974723
Air,group,2017-01,564600
Air,group,2017-02,502463
Air,group,2017-03,708879
Air,group,2017-04,636536
Air,group,2017-05,684044
