year,region,residence,metric,unit,value
2025,TOTAL,TOTAL,Major Attractions and Sites | Integrated Resort (MBS/RWS),%,47.0
2025,TOTAL,TOTAL,Major Attractions and Sites | Gardens by the Bay,%,49.0
2025,TOTAL,TOTAL,Major Attractions and Sites | Sentosa,%,19.0
2025,TOTAL,TOTAL,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,8.0
2025,TOTAL,TOTAL,Major Attractions and Sites | Singapore Zoo,%,6.0
2025,TOTAL,TOTAL,Major Attractions and Sites | Night Safari,%,6.0
2025,TOTAL,TOTAL,Major Attractions and Sites | River Wonders (formerly River Safari),%,3.0
2025,TOTAL,TOTAL,Major Attractions and Sites | Bird Paradise (formerly Jurong Bird Park),%,3.0
2025,TOTAL,TOTAL,Major Attractions and Sites | National Orchid Gardens,%,5.0
2025,TOTAL,TOTAL,Free Access Attractions and Sites | Orchard Road,%,38.0
2025,TOTAL,TOTAL,Free Access Attractions and Sites | Chinatown,%,46.0
2025,TOTAL,TOTAL,Free Access Attractions and Sites | Merlion Park,%,45.0
2025,TOTAL,TOTAL,Free Access Attractions and Sites | Little India,%,29.0
2025,TOTAL,TOTAL,Free Access Attractions and Sites | Esplanade Theatres by the Bay,%,7.0
2025,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore River,%,24.0
2025,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore Botanic Gardens,%,12.0
2025,TOTAL,TOTAL,Free Access Attractions and Sites | Raffles Hotel,%,10.0
2024,TOTAL,TOTAL,Major Attractions and Sites | Integrated Resort (MBS/RWS),%,48.0
2024,TOTAL,TOTAL,Major Attractions and Sites | Gardens by the Bay,%,46.0
2024,TOTAL,TOTAL,Major Attractions and Sites | Sentosa,%,19.0
2024,TOTAL,TOTAL,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,8.0
2024,TOTAL,TOTAL,Major Attractions and Sites | Singapore Zoo,%,6.0
2024,TOTAL,TOTAL,Major Attractions and Sites | Night Safari,%,5.0
2024,TOTAL,TOTAL,Major Attractions and Sites | River Wonders (formerly River Safari),%,3.0
2024,TOTAL,TOTAL,Major Attractions and Sites | Bird Paradise (formerly Jurong Bird Park),%,2.0
2024,TOTAL,TOTAL,Major Attractions and Sites | National Orchid Gardens,%,4.0
2024,TOTAL,TOTAL,Free Access Attractions and Sites | Orchard Road,%,39.0
2024,TOTAL,TOTAL,Free Access Attractions and Sites | Chinatown,%,44.0
2024,TOTAL,TOTAL,Free Access Attractions and Sites | Merlion Park,%,41.0
2024,TOTAL,TOTAL,Free Access Attractions and Sites | Little India,%,28.0
2024,TOTAL,TOTAL,Free Access Attractions and Sites | Esplanade Theatres by the Bay,%,9.0
2024,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore River/ Clarke Quay/ Boat Quay,%,27.0
2024,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore Botanic Gardens,%,11.0
2024,TOTAL,TOTAL,Free Access Attractions and Sites | Raffles Hotel,%,9.0
2023,TOTAL,TOTAL,Major Attractions and Sites | Integrated Resort (MBS/RWS),%,48.0
2023,TOTAL,TOTAL,Major Attractions and Sites | Gardens by the Bay,%,46.0
2023,TOTAL,TOTAL,Major Attractions and Sites | Sentosa,%,19.0
2023,TOTAL,TOTAL,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,10.0
2023,TOTAL,TOTAL,Major Attractions and Sites | Singapore Zoo,%,7.0
2023,TOTAL,TOTAL,Major Attractions and Sites | Night Safari,%,6.0
2023,TOTAL,TOTAL,Major Attractions and Sites | River Wonders (formerly River Safari),%,3.0
2023,TOTAL,TOTAL,Major Attractions and Sites | Bird Paradise (formerly Jurong Bird Park),%,2.0
2023,TOTAL,TOTAL,Major Attractions and Sites | National Orchid Gardens,%,6.0
2023,TOTAL,TOTAL,Free Access Attractions and Sites | Orchard Road,%,33.0
2023,TOTAL,TOTAL,Free Access Attractions and Sites | Chinatown,%,45.0
2023,TOTAL,TOTAL,Free Access Attractions and Sites | Merlion Park,%,35.0
2023,TOTAL,TOTAL,Free Access Attractions and Sites | Little India,%,30.0
2023,TOTAL,TOTAL,Free Access Attractions and Sites | Esplanade Theatres by the Bay,%,10.0
2023,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore River/ Clarke Quay/ Boat Quay,%,26.0
2023,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore Botanic Gardens,%,12.0
2023,TOTAL,TOTAL,Free Access Attractions and Sites | Raffles Hotel,%,11.0
2019,TOTAL,TOTAL,Major Attractions and Sites | Integrated Resort (MBS/RWS),%,48.20750317353553
2019,TOTAL,TOTAL,Major Attractions and Sites | Gardens by the Bay,%,50.25876875229807
2019,TOTAL,TOTAL,Major Attractions and Sites | Sentosa,%,26.452819014097308
2019,TOTAL,TOTAL,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,12.145988159152486
2019,TOTAL,TOTAL,Major Attractions and Sites | Singapore Zoo,%,8.718182766819183
2019,TOTAL,TOTAL,Major Attractions and Sites | Night Safari,%,6.483957885561842
2019,TOTAL,TOTAL,Major Attractions and Sites | River Wonders (formerly River Safari),%,4.184373989707808
2019,TOTAL,TOTAL,Major Attractions and Sites | Bird Paradise (formerly Jurong Bird Park),%,3.325595283914049
2019,TOTAL,TOTAL,Major Attractions and Sites | National Orchid Gardens,%,5.192268080573815
2019,TOTAL,TOTAL,Free Access Attractions and Sites | Orchard Road,%,39.69677533106201
2019,TOTAL,TOTAL,Free Access Attractions and Sites | Chinatown,%,43.05457738963649
2019,TOTAL,TOTAL,Free Access Attractions and Sites | Merlion Park,%,38.43846548434178
2019,TOTAL,TOTAL,Free Access Attractions and Sites | Little India,%,31.091977592271054
2019,TOTAL,TOTAL,Free Access Attractions and Sites | Esplanade Theatres by the Bay,%,10.30170304771804
2019,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore River/ Clarke Quay/ Boat Quay,%,22.100795161151627
2019,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore Botanic Gardens,%,15.09437280817156
2019,TOTAL,TOTAL,Free Access Attractions and Sites | Raffles Hotel,%,6.59634224020802
2018,TOTAL,TOTAL,Major Attractions and Sites | Integrated Resort (MBS/RWS),%,38.0
2018,TOTAL,TOTAL,Major Attractions and Sites | Gardens by the Bay,%,36.0
2018,TOTAL,TOTAL,Major Attractions and Sites | Sentosa,%,26.0
2018,TOTAL,TOTAL,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,8.0
2018,TOTAL,TOTAL,Major Attractions and Sites | Singapore Zoo,%,8.0
2018,TOTAL,TOTAL,Major Attractions and Sites | Night Safari,%,7.0
2018,TOTAL,TOTAL,Major Attractions and Sites | River Wonders (formerly River Safari),%,3.0
2018,TOTAL,TOTAL,Major Attractions and Sites | Bird Paradise (formerly Jurong Bird Park),%,3.0
2018,TOTAL,TOTAL,Major Attractions and Sites | National Orchid Gardens,%,4.0
2018,TOTAL,TOTAL,Free Access Attractions and Sites | Orchard Road,%,39.0
2018,TOTAL,TOTAL,Free Access Attractions and Sites | Chinatown,%,26.0
2018,TOTAL,TOTAL,Free Access Attractions and Sites | Merlion Park,%,27.0
2018,TOTAL,TOTAL,Free Access Attractions and Sites | Little India,%,20.0
2018,TOTAL,TOTAL,Free Access Attractions and Sites | Esplanade Theatres by the Bay,%,9.0
2018,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore River/ Clarke Quay/ Boat Quay,%,9.0
2018,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore Botanic Gardens,%,11.0
2018,TOTAL,TOTAL,Free Access Attractions and Sites | Raffles Hotel,%,3.0
2017,TOTAL,TOTAL,Major Attractions and Sites | Integrated Resort (MBS/RWS),%,41.0
2017,TOTAL,TOTAL,Major Attractions and Sites | Gardens by the Bay,%,33.0
2017,TOTAL,TOTAL,Major Attractions and Sites | Sentosa,%,24.0
2017,TOTAL,TOTAL,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,14.0
