year,region,residence,metric,unit,value
2025,TOTAL,TOTAL,Alone,%,38.0
2025,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Friends,%,19.0
2025,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Children Aged 19 Years And Below,%,16.0
2025,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Parents/  Parents-in-Law,%,14.0
2025,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Siblings,%,10.0
2025,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Spouse/ Partner/ Boyfriend/ Girlfriend,%,49.0
2025,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Business Associates/ Colleagues,%,7.0
2025,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Relatives,%,6.0
2025,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Children Aged Above 19 Years,%,5.0
2025,TOTAL,TOTAL,Average Family Size4 (Persons),%,2.7
2025,TOTAL,TOTAL,Average Party Size (Persons),%,2.3
2024,TOTAL,TOTAL,Alone,%,36.0
2024,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Spouse,%,45.0
2024,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Friends,%,18.0
2024,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Children Aged 19 Years And Below,%,16.0
2024,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Parents/  Parents-in-Law,%,11.0
2024,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Siblings,%,8.0
2024,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Partner/ Boyfriend/ Girlfriend,%,8.0
2024,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Business Associates/ Colleagues,%,7.0
2024,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Relatives,%,7.0
2024,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Children Aged Above 19 Years,%,6.0
2024,TOTAL,TOTAL,Average Family Size4 (Persons),%,2.9
2024,TOTAL,TOTAL,Average Party Size (Persons),%,2.4
2023,TOTAL,TOTAL,Alone,%,38.0
2023,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Spouse,%,41.0
2023,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Friends,%,19.0
2023,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Children Aged 19 Years And Below,%,14.0
2023,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Parents/  Parents-in-Law,%,14.0
2023,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Siblings,%,10.0
2023,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Partner/ Boyfriend/ Girlfriend,%,8.0
2023,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Business Associates/ Colleagues,%,7.0
2023,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Relatives,%,6.0
2023,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Children Aged Above 19 Years,%,4.0
2023,TOTAL,TOTAL,Average Family Size4 (Persons),%,3.0
2023,TOTAL,TOTAL,Average Party Size (Persons),%,2.6
2019,TOTAL,TOTAL,Alone,%,32.21191572296153
2019,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Spouse,%,51.52005029470136
2019,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Friends,%,17.385800636380555
2019,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Children Aged 19 Years And Below,%,16.762096613136478
2019,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Parents/  Parents-in-Law,%,12.564143583237556
2019,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Siblings,%,7.314543979085703
2019,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Partner/ Boyfriend/ Girlfriend,%,6.680682575506368
2019,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Business Associates/ Colleagues,%,5.63174745180028
2019,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Relatives,%,5.2356856805663
2019,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Children Aged Above 19 Years,%,4.046458175503998
2019,TOTAL,TOTAL,Average Family Size4 (Persons),%,2.781143752868475
2019,TOTAL,TOTAL,Average Party Size (Persons),%,2.560958944625706
2018,TOTAL,TOTAL,Alone,%,34.0
2018,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Spouse,%,50.0
2018,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Friends,%,17.0
2018,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Children Aged 19 Years And Below,%,16.0
2018,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Parents/  Parents-in-Law,%,13.0
2018,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Siblings,%,8.0
2018,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Partner/ Boyfriend/ Girlfriend,%,6.0
2018,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Business Associates/ Colleagues,%,7.0
2018,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Relatives,%,5.0
2018,TOTAL,TOTAL,Amongst Those Who Didn’t Travel Alone | Children Aged Above 19 Years,%,3.0
2018,TOTAL,TOTAL,Average Family Size4 (Persons),%,2.8
