year,region,residence,metric,unit,value
2025,TOTAL,TOTAL,Main Purpose of Visit | Holiday,%,68.0
2025,TOTAL,TOTAL,Main Purpose of Visit | Visit Friends / Relatives,%,13.0
2025,TOTAL,TOTAL,Main Purpose of Visit | General Business Purpose,%,7.0
2025,TOTAL,TOTAL,Main Purpose of Visit | MICE,%,7.0
2025,TOTAL,TOTAL,Main Purpose of Visit | Others,%,5.0
2025,TOTAL,TOTAL,Frequency of Visit | First,%,45.0
2025,TOTAL,TOTAL,Frequency of Visit | Repeat,%,55.0
2025,TOTAL,TOTAL,Accommodation | Hotel/Hostel,%,62.0
2025,TOTAL,TOTAL,Accommodation | Residence of Friends/ Relatives,%,12.0
2025,TOTAL,TOTAL,Accommodation | Others,%,26.0
2024,TOTAL,TOTAL,Main Purpose of Visit | Holiday,%,67.0
2024,TOTAL,TOTAL,Main Purpose of Visit | Visit Friends / Relatives,%,13.0
2024,TOTAL,TOTAL,Main Purpose of Visit | General Business Purpose,%,7.0
2024,TOTAL,TOTAL,Main Purpose of Visit | MICE,%,7.0
2024,TOTAL,TOTAL,Main Purpose of Visit | Others,%,6.0
2024,TOTAL,TOTAL,Frequency of Visit | First,%,40.0
2024,TOTAL,TOTAL,Frequency of Visit | Repeat,%,60.0
2024,TOTAL,TOTAL,Accommodation | Hotel,%,59.0
2024,TOTAL,TOTAL,Accommodation | Residence of Friends/ Relatives,%,14.0
2024,TOTAL,TOTAL,Accommodation | Others,%,27.0
2023,TOTAL,TOTAL,Main Purpose of Visit | Holiday,%,67.0
2023,TOTAL,TOTAL,Main Purpose of Visit | Visit Friends / Relatives,%,11.0
2023,TOTAL,TOTAL,Main Purpose of Visit | General Business Purpose,%,8.0
2023,TOTAL,TOTAL,Main Purpose of Visit | MICE,%,7.0
2023,TOTAL,TOTAL,Main Purpose of Visit | Others,%,7.0
2023,TOTAL,TOTAL,Frequency of Visit | First,%,39.0
2023,TOTAL,TOTAL,Frequency of Visit | Repeat,%,61.0
2023,TOTAL,TOTAL,Accommodation | Hotel,%,49.0
2023,TOTAL,TOTAL,Accommodation | Residence of Friends/ Relatives,%,13.0
2023,TOTAL,TOTAL,Accommodation | Others,%,38.0
2019,TOTAL,TOTAL,Main Purpose of Visit | Holiday,%,57.70443802723433
2019,TOTAL,TOTAL,Main Purpose of Visit | Visit Friends / Relatives,%,14.526858758301328
2019,TOTAL,TOTAL,Main Purpose of Visit | General Business Purpose,%,8.946194812756731
2019,TOTAL,TOTAL,Main Purpose of Visit | MICE,%,4.008217135586619
2019,TOTAL,TOTAL,Main Purpose of Visit | Others,%,3.801945841038888
2019,TOTAL,TOTAL,Main Purpose of Visit | Not Stated,%,11.01234542508209
2019,TOTAL,TOTAL,Frequency of Visit | First,%,38.46520099466969
2019,TOTAL,TOTAL,Frequency of Visit | Repeat,%,50.52245358024823
2019,TOTAL,TOTAL,Frequency of Visit | Not Stated,%,11.01234542508209
2019,TOTAL,TOTAL,Accommodation | Hotel,%,52.60770083245673
2019,TOTAL,TOTAL,Accommodation | Residence of Friends/ Relatives,%,16.28249967060041
2019,TOTAL,TOTAL,Accommodation | Others,%,31.10979949694283
2018,TOTAL,TOTAL,Main Purpose of Visit | Holiday,%,57.0
2018,TOTAL,TOTAL,Main Purpose of Visit | Visit Friends / Relatives,%,13.0
2018,TOTAL,TOTAL,Main Purpose of Visit | General Business Purpose,%,10.0
2018,TOTAL,TOTAL,Main Purpose of Visit | MICE,%,4.0
2018,TOTAL,TOTAL,Main Purpose of Visit | Others,%,4.0
2018,TOTAL,TOTAL,Main Purpose of Visit | Not Stated,%,11.0
2018,TOTAL,TOTAL,Frequency of Visit | First,%,39.0
2018,TOTAL,TOTAL,Frequency of Visit | Repeat,%,51.0
2018,TOTAL,TOTAL,Frequency of Visit | Not Stated,%,10.0
2018,TOTAL,TOTAL,Accommodation | Hotel,%,51.0
2018,TOTAL,TOTAL,Accommodation | Residence of Friends/ Relatives,%,17.0
2018,TOTAL,TOTAL,Accommodation | Others,%,32.0
2017,TOTAL,TOTAL,Main Purpose of Visit | Holiday,%,58.0
2017,TOTAL,TOTAL,Main Purpose of Visit | Visit Friends / Relatives,%,12.0
2017,TOTAL,TOTAL,Main Purpose of Visit | General Business Purpose,%,9.0
2017,TOTAL,TOTAL,Main Purpose of Visit | MICE,%,5.0
2017,TOTAL,TOTAL,Main Purpose of Visit | Others,%,4.0
2017,TOTAL,TOTAL,Main Purpose of Visit | Not Stated,%,11.0
2017,TOTAL,TOTAL,Frequency of Visit | First,%,38.0
2017,TOTAL,TOTAL,Frequency of Visit | Repeat,%,50.0
2017,TOTAL,TOTAL,Frequency of Visit | Not Stated,%,11.0
2017,TOTAL,TOTAL,Accommodation | Hotel,%,55.0
2017,TOTAL,TOTAL,Accommodation | Residence of Friends/ Relatives,%,18.0
2017,TOTAL,TOTAL,Accommodation | Others,%,27.0
2016,TOTAL,TOTAL,Main Purpose of Visit | Holiday,%,56.0
2016,TOTAL,TOTAL,Main Purpose of Visit | Visit Friends / Relatives,%,13.0
2016,TOTAL,TOTAL,Main Purpose of Visit | General Business Purpose,%,12.0
2016,TOTAL,TOTAL,Main Purpose of Visit | MICE,%,3.0
2016,TOTAL,TOTAL,Main Purpose of Visit | Others,%,5.0
2016,TOTAL,TOTAL,Main Purpose of Visit | Not Stated,%,11.0
2016,TOTAL,TOTAL,Frequency of Visit | First,%,37.0
2016,TOTAL,TOTAL,Frequency of Visit | Repeat,%,52.0
2016,TOTAL,TOTAL,Frequency of Visit | Not Stated,%,11.0
2016,TOTAL,TOTAL,Accommodation | Hotel,%,61.0
2016,TOTAL,TOTAL,Accommodation | Residence of Friends/ Relatives,%,18.0
2016,TOTAL,TOTAL,Accommodation | Others,%,21.0
2015,TOTAL,TOTAL,Main Purpose of Visit | Holiday,%,43.0
2015,TOTAL,TOTAL,Main Purpose of Visit | Visit Friends / Relatives,%,15.0
2015,TOTAL,TOTAL,Main Purpose of Visit | General Business Purpose,%,15.0
2015,TOTAL,TOTAL,Main Purpose of Visit | MICE,%,4.0
2015,TOTAL,TOTAL,Main Purpose of Visit | Others,%,12.0
2015,TOTAL,TOTAL,Main Purpose of Visit | Not Stated,%,10.0
2015,TOTAL,TOTAL,Frequency of Visit | First,%,29.0
2015,TOTAL,TOTAL,Frequency of Visit | Repeat,%,60.0
2015,TOTAL,TOTAL,Frequency of Visit | Not Stated,%,10.0
2015,TOTAL,TOTAL,Accommodation | Hotel,%,58.0
2015,TOTAL,TOTAL,Accommodation | Residence of Friends/ Relatives,%,23.0
2015,TOTAL,TOTAL,Accommodation | Others,%,19.0
2014,TOTAL,TOTAL,Main Purpose of Visit | Holiday,%,43.0
2014,TOTAL,TOTAL,Main Purpose of Visit | Visit Friends / Relatives,%,13.0
2014,TOTAL,TOTAL,Main Purpose of Visit | General Business Purpose,%,18.0
2014,TOTAL,TOTAL,Main Purpose of Visit | MICE,%,3.0
2014,TOTAL,TOTAL,Main Purpose of Visit | Others,%,11.0
2014,TOTAL,TOTAL,Main Purpose of Visit | Not Stated,%,11.0
2014,TOTAL,TOTAL,Frequency of Visit | First,%,28.0
2014,TOTAL,TOTAL,Frequency of Visit | Repeat,%,58.0
2014,TOTAL,TOTAL,Frequency of Visit | Not Stated,%,14.0
2014,TOTAL,TOTAL,Accommodation | Hotel,%,63.0
