year,region,residence,metric,unit,value
2025,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,36.0
2025,TOTAL,TOTAL,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,18.0
2025,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,43.0
2025,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,33.0
2025,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,2.0
2025,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,4.0
2025,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,1.0
2025,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Others,%,6.0
2025,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,42.0
2025,TOTAL,TOTAL,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,14.0
2025,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,16.0
2025,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,11.0
2025,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,5.0
2025,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,6.0
2025,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,2.0
2025,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Others,%,4.0
2024,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,40.0
2024,TOTAL,TOTAL,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,20.0
2024,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,44.0
2024,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,28.0
2024,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,2.0
2024,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,3.0
2024,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,1.0
2024,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Others,%,7.0
2024,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,45.0
2024,TOTAL,TOTAL,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,14.0
2024,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,15.0
2024,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,9.0
2024,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,6.0
2024,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,5.0
2024,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,2.0
2024,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Others,%,5.0
2023,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,44.0
2023,TOTAL,TOTAL,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,19.0
2023,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,42.0
2023,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,28.0
2023,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,3.0
2023,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,4.0
2023,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,2.0
2023,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Others,%,9.0
2023,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,48.0
2023,TOTAL,TOTAL,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,12.0
2023,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,12.0
2023,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,8.0
2023,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,5.0
2023,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,6.0
2023,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,2.0
2023,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Others,%,6.0
2019,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,47.14350586034181
2019,TOTAL,TOTAL,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,28.7525161181165
2019,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,42.62450764904425
2019,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,30.535973584770183
2019,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,2.705061985451306
2019,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,3.1784553486161866
2019,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,2.0151170078003275
