series,level,date,value
Accommodation,group,2008Q1,902
Accommodation,group,2008Q2,1819
Accommodation,group,2008Q3,2786
Accommodation,group,2008Q4,3608
Accommodation,group,2009Q1,724
Accommodation,group,2009Q2,1387
Accommodation,group,2009Q3,2100
Accommodation,group,2009Q4,2839
Accommodation,group,2010Q1,757
Accommodation,group,2010Q2,1686
Accommodation,group,2010Q3,2670
Accommodation,group,2010Q4,3623
Accommodation,group,2011Q1,1039
Accommodation,group,2011Q2,2119
Accommodation,group,2011Q3,3228
Accommodation,group,2011Q4,4390
Accommodation,group,2012Q1,1274
Accommodation,group,2012Q2,2491
Accommodation,group,2012Q3,3758
Accommodation,group,2012Q4,5038
Accommodation,group,2013Q1,1283
Accommodation,group,2013Q2,2564
Accommodation,group,2013Q3,3966
Accommodation,group,2013Q4,5332
Accommodation,group,2014Q1,1377
Accommodation,group,2014Q2,2687
Accommodation,group,2014Q3,4053
Accommodation,group,2014Q4,5309
Accommodation,group,2015Q1,1092
Accommodation,group,2015Q2,2179
Accommodation,group,2015Q3,3514
Accommodation,group,2015Q4,4680
Accommodation,group,2016Q1,1280
Accommodation,group,2016Q2,2748
Accommodation,group,2016Q3,4513
Accommodation,group,2016Q4,5916
Accommodation,group,2017Q1,1525
Accommodation,group,2017Q2,2928
Accommodation,group,2017Q3,4588
Accommodation,group,2017Q4,6016
Accommodation,group,2018Q1,1436
Accommodation,group,2018Q2,2933
Accommodation,group,2018Q3,4390
Accommodation,group,2018Q4,5666
Accommodation,group,2019Q1,1256
Accommodation,group,2019Q2,2565
Accommodation,group,2019Q3,4090
Accommodation,group,2019Q4,5529
Accommodation,group,2020Q1,862
Accommodation,group,2020Q2,875
Accommodation,group,2020Q3,905
Accommodation,group,2020Q4,1022
Accommodation,group,2021Q1,108
Accommodation,group,2021Q2,210
Accommodation,group,2021Q3,333
Accommodation,group,2021Q4,580
Accommodation,group,2022Q1,500
Accommodation,group,2022Q2,1046
Accommodation,group,2022Q3,1938
Accommodation,group,2022Q4,2963
Accommodation,group,2023Q1,1009
Accommodation,group,2023Q2,2031
Accommodation,group,2023Q3,3338
Accommodation,group,2023Q4,4471
Accommodation,group,2024Q1,1314
Accommodation,group,2024Q2,2442
Accommodation,group,2024Q3,3858
Accommodation,group,2024Q4,5141
Accommodation,group,2025Q1,1391
Accommodation,group,2025Q2,2561
Accommodation,group,2025Q3,3898
Accommodation,group,2025Q4,5414
Accommodation,group,2026Q1,1388
Food & Beverage,group,2008Q1,448
Food & Beverage,group,2008Q2,916
Food & Beverage,group,2008Q3,1399
Food & Beverage,group,2008Q4,1848
Food & Beverage,group,2009Q1,377
Food & Beverage,group,2009Q2,727
Food & Beverage,group,2009Q3,1104
Food & Beverage,group,2009Q4,1512
Food & Beverage,group,2010Q1,417
Food & Beverage,group,2010Q2,889
Food & Beverage,group,2010Q3,1390
Food & Beverage,group,2010Q4,1903
Food & Beverage,group,2011Q1,546
Food & Beverage,group,2011Q2,1091
Food & Beverage,group,2011Q3,1675
Food & Beverage,group,2011Q4,2239
Food & Beverage,group,2012Q1,561
Food & Beverage,group,2012Q2,1112
Food & Beverage,group,2012Q3,1671
Food & Beverage,group,2012Q4,2246
Food & Beverage,group,2013Q1,582
Food & Beverage,group,2013Q2,1139
Food & Beverage,group,2013Q3,1740
Food & Beverage,group,2013Q4,2294
Food & Beverage,group,2014Q1,576
Food & Beverage,group,2014Q2,1110
Food & Beverage,group,2014Q3,1705
Food & Beverage,group,2014Q4,2263
Food & Beverage,group,2015Q1,532
Food & Beverage,group,2015Q2,1072
Food & Beverage,group,2015Q3,1723
Food & Beverage,group,2015Q4,2319
Food & Beverage,group,2016Q1,591
Food & Beverage,group,2016Q2,1377
Food & Beverage,group,2016Q3,2145
Food & Beverage,group,2016Q4,2787
Food & Beverage,group,2017Q1,700
Food & Beverage,group,2017Q2,1405
Food & Beverage,group,2017Q3,2032
Food & Beverage,group,2017Q4,2649
Food & Beverage,group,2018Q1,630
Food & Beverage,group,2018Q2,1234
Food & Beverage,group,2018Q3,1946
Food & Beverage,group,2018Q4,2593
Food & Beverage,group,2019Q1,588
Food & Beverage,group,2019Q2,1175
Food & Beverage,group,2019Q3,1848
Food & Beverage,group,2019Q4,2497
Food & Beverage,group,2020Q1,376
Food & Beverage,group,2020Q2,390
Food & Beverage,group,2020Q3,412
Food & Beverage,group,2020Q4,454
Food & Beverage,group,2021Q1,48
Food & Beverage,group,2021Q2,93
Food & Beverage,group,2021Q3,129
Food & Beverage,group,2021Q4,192
Food & Beverage,group,2022Q1,113
Food & Beverage,group,2022Q2,367
Food & Beverage,group,2022Q3,756
Food & Beverage,group,2022Q4,1282
Food & Beverage,group,2023Q1,868
Food & Beverage,group,2023Q2,1858
Food & Beverage,group,2023Q3,3008
Food & Beverage,group,2023Q4,3977
Food & Beverage,group,2024Q1,1103
Food & Beverage,group,2024Q2,2051
Food & Beverage,group,2024Q3,3192
Food & Beverage,group,2024Q4,4269
Food & Beverage,group,2025Q1,1259
Food & Beverage,group,2025Q2,2380
Food & Beverage,group,2025Q3,3660
Food & Beverage,group,2025Q4,4912
Food & Beverage,group,2026Q1,1235
Other Components,group,2008Q1,1401
Other Components,group,2008Q2,2825
Other Components,group,2008Q3,4424
Other Components,group,2008Q4,5861
Other Components,group,2009Q1,1164
Other Components,group,2009Q2,2256
Other Components,group,2009Q3,3490
Other Components,group,2009Q4,4712
Other Components,group,2010Q1,1269
Other Components,group,2010Q2,2576
Other Components,group,2010Q3,4067
Other Components,group,2010Q4,5421
