market,tier2_rate_2026,tier3_rate_2026,forecast_arrivals,method,latest_month,arrival_growth_pct,gdp_pc_real_growth_pct,sgd_per_lcu_2025,sgd_per_lcu_2026_ytd,pp_index,gap_pp,arrival_weight,pp_adjusted_weight,weighted_gap_contribution_pp,pp_gap_contribution_pp
Australia,25.249999999999925,30.69999999999971,1267380.5236217224,2026 YTD seasonal scaling,6,-0.006270523588725041,0.6067133745592868,0.8422923323184875,0.898631023943794,1.0733602858112548,5.449999999999786,0.08475376894577437,0.08990004765957593,0.4619080407544522,0.4899552597446696
Canada,32.87500000000007,39.59999999999976,159108.57695454883,2026 YTD seasonal scaling,6,3.451610503607827,,,,1.0,6.724999999999689,0.010640096890522914,0.010514798685957167,0.07155465158876329,0.07071202116305868
China,25.875000000000085,29.300000000000153,3215159.209497535,2026 YTD seasonal scaling,6,3.70959427517632,4.892269908492319,0.1818214884645325,0.1871056076525353,1.0794066237726674,3.425000000000068,0.21500792831101243,0.22934798709956014,0.7364021544652323,0.7855168558160092
France,31.124999999999943,41.599999999999746,194738.5596866423,2026 YTD seasonal scaling,6,-0.9755260750228589,,,,1.0,10.474999999999802,0.013022787225220767,0.012869430364418559,0.13641369618418495,0.13480728306728187
Germany,33.50000000000002,46.09999999999979,345376.1058252273,2026 YTD seasonal scaling,6,-3.0879576000888753,,,,1.0,12.599999999999767,0.023096399326741967,0.02282441520880109,0.2910146315169434,0.28758763163088846
Hong Kong SAR,22.75000000000018,26.599999999999998,308088.9960625166,2026 YTD seasonal scaling,6,-8.755465371886862,0.8328268386469384,0.1676107618185759,0.1634149282860723,0.9830865863228399,3.8499999999998167,0.020602891633840298,0.020015909473019775,0.07932113279028137,0.07706125147112246
India,29.749999999999844,40.799999999999805,1127507.8200897328,2026 YTD seasonal scaling,6,-6.601406553203049,4.515333455632864,0.0149910410963366,0.0136499766944966,0.9516562970636904,11.049999999999962,0.07540003612755619,0.0709099303947914,0.833170399209493,0.7835547308624423
Indonesia,16.749999999999982,14.399999999999887,2181789.4908820996,2026 YTD seasonal scaling,6,-10.57671733728579,2.8388390819108933,7.928713462062937e-05,7.36006021695022e-05,0.9546316081489257,-2.3500000000000956,0.14590320661557846,0.13764360104149026,-0.34287253554662334,-0.32346246244751525
Italy,34.99999999999995,49.29999999999965,100435.67285130406,2026 YTD seasonal scaling,6,0.5704372372019151,,,,1.0,14.299999999999699,0.006716453071590274,0.006637359852836793,0.0960452789237389,0.09491424589556414
Japan,21.749999999999975,28.299999999999898,682278.7218207931,2026 YTD seasonal scaling,6,8.727424263846828,0.7904966131339064,0.0087343147301525,0.0080610138190404,0.9302087354622169,6.5499999999999226,0.04562614942241066,0.041942045928297325,0.2988512787167863,0.2747204008303442
Malaysia,11.999999999999982,12.999999999999856,1296529.4936135185,2026 YTD seasonal scaling,6,1.6571736744502852,2.101982648875933,0.3052188865042944,0.3194585388821294,1.0686543866124585,0.9999999999998739,0.08670305333325433,0.09156448226333758,0.0867030533332434,0.09156448226332603
Netherlands,28.87499999999978,39.39999999999968,100919.83277600018,2026 YTD seasonal scaling,6,3.4979671373926324,,,,1.0,10.524999999999899,0.006748830386552664,0.006669355891249243,0.0710314398184661,0.07019497075539761
New Zealand,25.75000000000005,31.899999999999707,159463.55871566894,2026 YTD seasonal scaling,6,-3.403424531039756,,,,1.0,6.1499999999996575,0.010663835650588411,0.01053825789743909,0.06558258925111508,0.0648102860692468
Philippines,29.25000000000015,28.90000000000018,685366.8976570051,2026 YTD seasonal scaling,6,-5.6086774719690595,2.1634016890145435,0.0227254934671243,0.0212023554020581,0.9531607112634504,-0.34999999999996945,0.04583266556843623,0.04317144926055359,-0.01604143294895128,-0.01511000724119244
South Africa (Rep of),30.124999999999396,45.99999999999909,43269.46588805014,2026 YTD seasonal scaling,6,20.246403646204246,,,,1.0,15.874999999999694,0.0028935668853448775,0.00285949212650997,0.04593537430484904,0.0453944375083449
South Korea,33.749999999999964,34.19999999999997,523762.20369097707,2026 YTD seasonal scaling,6,-10.774568799342932,1.8858316077306811,0.0009191812693864,0.000867501052714,0.9615738388071143,0.45000000000000284,0.035025645389674696,0.0332831302844467,0.01576154042535371,0.01497740862800111
Switzerland,34.75,41.1999999999997,96448.57507277292,2026 YTD seasonal scaling,6,0.66440015110103,,,,1.0,6.449999999999697,0.0064498231545388595,0.00637386978030313,0.04160135934677369,0.04111146008295326
Taiwan,17.875000000000078,22.0,467228.88029407064,2026 YTD seasonal scaling,6,10.537531298279257,,,,1.0,4.124999999999922,0.031245082141609308,0.030877138810440966,0.12888596383413595,0.12736819759306658
Thailand,23.624999999999908,31.299999999999546,384973.2265239452,2026 YTD seasonal scaling,6,-0.39244831070784914,0.8822476208801611,0.0397528100958335,0.0395134466511391,1.0027480572580825,7.674999999999638,0.025744384802348624,0.025511131825540666,0.19758815335801638,0.1957979367610154
UK,30.999999999999794,40.999999999999524,543149.016834132,2026 YTD seasonal scaling,6,-7.526909975988783,0.1923698992748024,1.721719065479878,1.7211959202511342,1.0016192639584836,9.99999999999973,0.036322103281448546,0.03595249521132286,0.36322103281447565,0.35952495211321894
USA,28.500000000000007,32.59999999999994,733020.9894248549,2026 YTD seasonal scaling,6,2.238297596263017,1.8001396028864305,1.3067668070249303,1.2793016576410832,0.9966054130083342,4.09999999999993,0.04901944634006387,0.04827775015576075,0.20097972999425845,0.19793877563861573
Vietnam,24.250000000000103,25.09999999999997,337681.63380720455,2026 YTD seasonal scaling,6,-1.9188488105293944,,,,1.0,0.8499999999998664,0.022581845495891185,0.022315920784346834,0.01919456867150449,0.018968532666691826
