year,residence,receipts_sm
2019,Australia,1343.0
2019,China,4124.0
2019,India,1624.0
2019,Indonesia,3074.0
2019,Japan,1162.0
2019,Malaysia,733.0
2019,Philippines,721.0
2019,South Korea,675.0
2019,USA,885.0
2019,Vietnam,668.0
2020,Australia,235.0
2020,China,624.0
2020,India,291.0
2020,Indonesia,562.0
2020,Japan,178.0
2020,Malaysia,135.0
2020,Philippines,125.0
2020,USA,149.0
2020,United Kingdom,138.0
2020,Vietnam,133.0
2021,Australia,51.69
2021,China,536.9
2021,Hong Kong SAR,46.12
2021,India,94.74
2021,Indonesia,189.9
2021,Japan,38.3
2021,Malaysia,68.47
2021,South Korea,41.95
2021,USA,72.07
2021,Vietnam,39.63
2022,Australia,1090.0
2022,China,602.3
2022,India,1070.0
2022,Indonesia,1720.0
2022,Malaysia,623.4
2022,Philippines,499.5
2022,Thailand,415.1
2022,USA,909.7
2022,United Kingdom,542.4
2022,Vietnam,431.8
2023,Australia,2010.0
2023,China,3090.0
2023,India,1520.0
2023,Indonesia,2980.0
2023,Japan,753.0
2023,Malaysia,903.0
2023,Philippines,827.0
2023,South Korea,701.0
2023,USA,1420.0
2023,United Kingdom,860.0
2024,Australia,2000.0
2024,China,4580.0
2024,India,1480.0
2024,Indonesia,2890.0
2024,Japan,949.0
2024,Malaysia,903.0
2024,Philippines,836.0
2024,South Korea,653.0
2024,USA,1500.0
2024,United Kingdom,915.0
2025,Australia,1540.0
2025,China,3680.0
2025,Indonesia,2090.0
