series,level,date,value
Visitor Days,group,2008-01,3460974
Visitor Days,group,2008-02,3075300
Visitor Days,group,2008-03,3305778
Visitor Days,group,2008-04,3147567
Visitor Days,group,2008-05,3357107
Visitor Days,group,2008-06,3422660
Visitor Days,group,2008-07,3715695
Visitor Days,group,2008-08,3674424
Visitor Days,group,2008-09,3119584
Visitor Days,group,2008-10,3291323
Visitor Days,group,2008-11,3004656
Visitor Days,group,2008-12,3457927
Visitor Days,group,2009-01,3279749
Visitor Days,group,2009-02,2741547
Visitor Days,group,2009-03,2974177
Visitor Days,group,2009-04,3091791
Visitor Days,group,2009-05,3051895
Visitor Days,group,2009-06,3184048
Visitor Days,group,2009-07,3503771
Visitor Days,group,2009-08,3450428
Visitor Days,group,2009-09,3167384
Visitor Days,group,2009-10,3191924
Visitor Days,group,2009-11,3067487
Visitor Days,group,2009-12,3656741
Visitor Days,group,2010-01,3561631
Visitor Days,group,2010-02,3207936
Visitor Days,group,2010-03,3442612
Visitor Days,group,2010-04,3592102
Visitor Days,group,2010-05,3782770
Visitor Days,group,2010-06,3931364
Visitor Days,group,2010-07,4249141
Visitor Days,group,2010-08,4152356
Visitor Days,group,2010-09,3725418
Visitor Days,group,2010-10,3618382
Visitor Days,group,2010-11,3508715
Visitor Days,group,2010-12,4151209
Visitor Days,group,2011-01,4062250
Visitor Days,group,2011-02,3626254
Visitor Days,group,2011-03,3803141
Visitor Days,group,2011-04,4111049
Visitor Days,group,2011-05,4052203
Visitor Days,group,2011-06,4230819
Visitor Days,group,2011-07,4768749
Visitor Days,group,2011-08,4514683
Visitor Days,group,2011-09,3883344
Visitor Days,group,2011-10,3874287
Visitor Days,group,2011-11,3773441
Visitor Days,group,2011-12,4419527
Visitor Days,group,2012-01,4527019
Visitor Days,group,2012-02,3951007
Visitor Days,group,2012-03,4144372
Visitor Days,group,2012-04,4256055
Visitor Days,group,2012-05,4247752
Visitor Days,group,2012-06,4390302
Visitor Days,group,2012-07,4684476
Visitor Days,group,2012-08,4858870
Visitor Days,group,2012-09,3813713
Visitor Days,group,2012-10,3999512
Visitor Days,group,2012-11,3933320
Visitor Days,group,2012-12,4532209
Visitor Days,group,2013-01,4597589
Visitor Days,group,2013-02,4187900
Visitor Days,group,2013-03,4421356
Visitor Days,group,2013-04,4244330
Visitor Days,group,2013-05,4524935
Visitor Days,group,2013-06,4634622
Visitor Days,group,2013-07,4940274
Visitor Days,group,2013-08,5375349
Visitor Days,group,2013-09,4122675
Visitor Days,group,2013-10,4278364
Visitor Days,group,2013-11,4148287
Visitor Days,group,2013-12,4740375
Visitor Days,group,2014-01,5046492
Visitor Days,group,2014-02,4385128
Visitor Days,group,2014-03,4491694
Visitor Days,group,2014-04,4636898
Visitor Days,group,2014-05,4743551
Visitor Days,group,2014-06,4714126
Visitor Days,group,2014-07,5322328
Visitor Days,group,2014-08,5338418
Visitor Days,group,2014-09,4121323
Visitor Days,group,2014-10,4337756
Visitor Days,group,2014-11,4097018
Visitor Days,group,2014-12,4790495
Visitor Days,group,2015-01,4751474
Visitor Days,group,2015-02,4319792
Visitor Days,group,2015-03,4388579
Visitor Days,group,2015-04,4421877
Visitor Days,group,2015-05,4588889
Visitor Days,group,2015-06,4560922
Visitor Days,group,2015-07,5458256
Visitor Days,group,2015-08,5414418
Visitor Days,group,2015-09,4096306
Visitor Days,group,2015-10,4303210
Visitor Days,group,2015-11,3979155
Visitor Days,group,2015-12,4704237
Visitor Days,group,2016-01,4962193
Visitor Days,group,2016-02,4707697
Visitor Days,group,2016-03,4541914
Visitor Days,group,2016-04,4650846
Visitor Days,group,2016-05,4740850
Visitor Days,group,2016-06,4638202
Visitor Days,group,2016-07,5742975
Visitor Days,group,2016-08,5299168
Visitor Days,group,2016-09,4037892
Visitor Days,group,2016-10,4113698
