DataSeries,2026Jun,2026May,2026Apr,2026Mar,2026Feb,2026Jan,2025Dec,2025Nov,2025Oct,2025Sep,2025Aug,2025Jul,2025Jun,2025May,2025Apr,2025Mar,2025Feb,2025Jan,2024Dec,2024Nov,2024Oct,2024Sep,2024Aug,2024Jul,2024Jun,2024May,2024Apr,2024Mar,2024Feb,2024Jan,2023Dec,2023Nov,2023Oct,2023Sep,2023Aug,2023Jul,2023Jun,2023May,2023Apr,2023Mar,2023Feb,2023Jan,2022Dec,2022Nov,2022Oct,2022Sep,2022Aug,2022Jul,2022Jun,2022May,2022Apr,2022Mar,2022Feb,2022Jan,2021Dec,2021Nov,2021Oct,2021Sep,2021Aug,2021Jul,2021Jun,2021May,2021Apr,2021Mar,2021Feb,2021Jan,2020Dec,2020Nov,2020Oct,2020Sep,2020Aug,2020Jul,2020Jun,2020May,2020Apr,2020Mar,2020Feb,2020Jan,2019Dec,2019Nov,2019Oct,2019Sep,2019Aug,2019Jul,2019Jun,2019May,2019Apr,2019Mar,2019Feb,2019Jan,2018Dec,2018Nov,2018Oct,2018Sep,2018Aug,2018Jul,2018Jun,2018May,2018Apr,2018Mar,2018Feb,2018Jan,2017Dec,2017Nov,2017Oct,2017Sep,2017Aug,2017Jul,2017Jun,2017May,2017Apr,2017Mar,2017Feb,2017Jan,2016Dec,2016Nov,2016Oct,2016Sep,2016Aug,2016Jul,2016Jun,2016May,2016Apr,2016Mar,2016Feb,2016Jan,2015Dec,2015Nov,2015Oct,2015Sep,2015Aug,2015Jul,2015Jun,2015May,2015Apr,2015Mar,2015Feb,2015Jan,2014Dec,2014Nov,2014Oct,2014Sep,2014Aug,2014Jul,2014Jun,2014May,2014Apr,2014Mar,2014Feb,2014Jan,2013Dec,2013Nov,2013Oct,2013Sep,2013Aug,2013Jul,2013Jun,2013May,2013Apr,2013Mar,2013Feb,2013Jan,2012Dec,2012Nov,2012Oct,2012Sep,2012Aug,2012Jul,2012Jun,2012May,2012Apr,2012Mar,2012Feb,2012Jan,2011Dec,2011Nov,2011Oct,2011Sep,2011Aug,2011Jul,2011Jun,2011May,2011Apr,2011Mar,2011Feb,2011Jan,2010Dec,2010Nov,2010Oct,2010Sep,2010Aug,2010Jul,2010Jun,2010May,2010Apr,2010Mar,2010Feb,2010Jan,2009Dec,2009Nov,2009Oct,2009Sep,2009Aug,2009Jul,2009Jun,2009May,2009Apr,2009Mar,2009Feb,2009Jan,2008Dec,2008Nov,2008Oct,2008Sep,2008Aug,2008Jul,2008Jun,2008May,2008Apr,2008Mar,2008Feb,2008Jan
Total International Visitor Arrivals By Place Of Residence,1296528,1317196,1393047,1312610,1473812,1424845,1387235,1442903,1455060,1377635,1448121,1431629,1353470,1460477,1411971,1233292,1363681,1556359,1413732,1375172,1386880,1391725,1396699,1365306,1341029,1362010,1343950,1404536,1400308,1365442,1238024,1217067,1184414,1238375,1205952,1213808,1199645,1192848,1124367,975988,967410,883448,927518,895164,856913,856624,680049,626934,575823,429985,305692,116471,68244,56518,92059,44886,25234,21294,14827,15808,10253,13998,26628,26397,18407,23853,23693,16003,14013,10681,8308,5989,2338,889,762,226664,737766,1630318,1664469,1656615,1601932,1628468,1627335,1582506,1562970,1573351,1597879,1509885,1536710,1576903,1535353,1525803,1544678,1581504,1566703,1531629,1569118,1542161,1534953,1538369,1533624,1513851,1490286,1523582,1481325,1486084,1443130,1438035,1423221,1416070,1460771,1442287,1413714,1420521,1423074,1352731,1308129,1295202,1367546,1377959,1350365,1397563,1392752,1368953,1372096,1362382,1337296,1319750,1315918,1284819,1336920,1299065,1256045,1258033,1212920,1164189,1231606,1209179,1272087,1252746,1267365,1248939,1242333,1232279,1240653,1242917,1252687,1255519,1289296,1306816,1273866,1295505,1260889,1331062,1324809,1281181,1338753,1321212,1283118,1329818,1275970,1263604,1264698,1322416,1243294,1179331,1186650,1159631,1195220,1178112,1205751,1205925,1201221,1170052,1127248,1110550,1123153,1118111,1111523,1150475,1109054,1085439,1106110,1041324,1053166,1048072,1040965,1034837,1005881,1006738,958125,988741,977769,978204,944091,901860,920129,905362,894074,881261,859184,849897,811752,797067,775848,756426,785632,768578,752319,766758,817742,804863,823270,828007,814357,829123,843709,867685,840593,887334,883462,896038
    Southeast Asia,415676,429755,446246,460910,425653,461009,450911,464097,463513,456961,448513,444688,447865,473445,459544,442027,461864,486267,469589,463857,452132,453662,432822,432849,437356,427962,446220,558151,478227,501223,440152,445404,443035,435943,463467,468001,461480,455571,431847,432034,425198,375803,387436,382745,381784,365607,338347,296564,262228,178765,139149,42556,21369,18590,26197,13813,6555,2974,2062,1753,1532,3932,7322,7442,6625,7260,7583,6856,6481,4055,3023,2070,1089,504,503,89534,289320,568044,559076,597604,566741,555625,558494,559799,540609,537014,550124,535811,534890,527337,534468,542792,547164,549375,548384,535412,564522,528346,548735,547928,540261,529434,525671,532754,517138,521604,517292,510785,499116,488771,546570,540551,513470,510678,518924,493924,489088,471498,485279,498028,482258,519180,508692,506705,518373,503449,497252,483664,483045,478178,480366,479673,478003,485268,472944,457738,461161,476874,504475,494036,503659,506532,486074,499489,524864,520805,506803,517630,523240,531475,512673,541559,531970,515405,543785,486906,522624,511079,492307,529450,485759,495016,488418,522079,483480,465770,478207,453706,468388,475990,488338,491026,511651,466869,461297,448522,455387,458587,456472,465045,456935,439957,451594,439291,453502,433475,439970,425693,428629,431250,381010,421091,404501,402097,387115,358900,367115,364424,358054,350454,328901,322286,302456,299949,299204,288487,291195,287309,279855,267904,301595,290678,288144,299547,290204,292007,289510,296904,297074,317046,310945,305427
    Hong Kong SAR,27793,23789,29340,27721,22640,24420,24100,28347,28423,24767,29278,29740,30090,32646,29300,25421,26513,26810,25541,28054,27903,29421,26966,26189,25789,24020,22380,39122,27588,29341,27365,26428,28670,28528,24666,24673,24884,26616,27871,25562,33421,20950,26420,23439,18864,15052,8089,8515,9856,8304,6153,4141,1908,1132,730,637,593,740,451,556,382,287,189,269,262,363,495,378,362,325,253,242,72,2,11,5888,21099,31714,44269,48675,43226,40009,38206,36477,38595,39026,44677,38113,40432,38998,37318,39167,41326,41020,40138,37027,41147,39632,35086,47017,36924,39479,37706,39918,38845,37758,38464,37639,35626,37208,45276,37809,42711,35754,38286,37307,37187,36704,49011,47480,46588,44265,35399,66374,49031,46846,47872,45486,48798,49735,62421,55586,49705,50867,48486,47654,45772,45722,47795,47669,47503,49709,62094,54101,50989,53110,56808,49461,50082,52206,47044,47160,44050,41573,44768,45964,46595,44971,32862,57350,46720,42350,44959,44212,44376,42681,35763,34763,38860,35958,38814,39982,45539,32131,38787,37705,34742,37847,36960,40699,39607,40737,43774,36888,36382,37193,35376,35375,36047,34078,35497,34256,33496,34051,30096,29419,23582,24416,23030,24043,27726,25336,27633,25170,22467,22569,24454,23771,27166,19964,24625,22278,21711,24202,20381,21716,23864,23747,17429,30748,25336,25053
    Taiwan,36507,32839,42008,39714,44452,29565,35071,36195,43125,30105,37320,36621,33256,40235,33463,32663,28770,35359,34535,33312,29894,33865,33747,34280,34892,32278,31960,36749,36053,31773,28526,30844,29239,27901,31690,30032,29768,27674,26082,22945,22796,22401,20330,17777,10916,8371,6272,4275,3419,2286,1063,703,405,366,618,390,396,464,390,55,30,213,298,368,175,284,380,201,162,135,96,79,36,5,2,1629,15099,32175,31802,38981,38043,35210,37811,37276,36093,35025,32400,33176,32457,36571,36863,34716,34338,35029,36870,35059,35807,34718,35944,35083,36159,32218,32662,35251,38501,32378,32372,31732,32051,37889,30577,32875,32410,30641,32561,29251,30914,33620,31762,30428,38179,34537,34362,32733,32346,34305,33271,32608,32953,31215,33889,32572,31813,30092,30545,29717,30695,28178,27318,28566,29235,28847,28909,28488,26812,30992,27188,26666,26230,28461,27617,29500,28125,31356,30912,30489,30869,25334,25498,26799,31192,29855,29489,26330,24514,21509,21467,21815,21858,23048,24271,24765,26397,21446,20521,20117,20829,22556,20703,22234,21421,20553,19890,17076,16189,17076,15885,16249,15846,16045,16442,16233,14236,18566,15416,16745,15392,14828,12566,14347,14756,12449,13788,11956,12135,12587,12785,13615,13009,13469,14475,14914,14815,14631,13340,13440,13908,15650,14995,14955,15952,16031
    Japan,54288,56295,62216,58055,50793,51644,52719,53264,54267,52394,54677,52560,50593,50301,48154,52314,51566,49762,52522,43638,52181,50837,49641,48486,48273,48405,47638,43561,44010,43915,38264,39683,38762,40856,43642,41018,35045,36589,31389,28007,29447,23408,22688,21169,17703,17489,13265,12105,10997,8137,5881,638,550,628,622,402,770,730,247,298,154,368,1053,429,376,630,744,724,499,334,374,578,173,39,33,8335,50689,70881,73470,70760,77415,76221,77084,73375,72076,75026,86003,62639,71807,73248,67856,72284,72597,71806,70259,69991,67472,66507,67134,64493,68939,69859,67172,74065,64428,64758,65936,64412,65904,66426,62649,65443,69129,61881,64561,63276,63376,63837,65617,65166,67554,67627,67667,63651,66595,68477,67073,66361,67028,68202,66223,67445,65173,65573,63666,64270,63669,64633,70845,67003,69107,68954,69414,69109,68375,67860,68194,69223,69247,66473,68850,69169,68797,68857,68788,69979,70245,69823,70503,70718,69030,67884,66982,66462,63650,62382,62916,61266,63463,62508,63858,61380,61158,59630,60474,57324,58550,59078,55804,55165,46062,51808,49273,49831,58979,50948,47292,47771,43546,42792,44852,44103,43930,45461,44801,43685,41874,39028,39089,36164,42247,49457,41186,45773,33492,36821,40261,39838,40985,42439,45801,44885,46412,45812,44427,46703,48235,51533,45976,48817,50579,53060
    India,86209,93713,93266,102303,94160,102494,98848,92020,101959,110926,99878,93923,91124,100658,106112,106133,104315,105113,106821,100831,101330,98482,100429,97275,96421,102286,96444,102411,95366,97436,95845,97106,93872,91051,91607,99453,91039,85184,88984,80516,80945,72629,76923,78325,81830,97261,83998,79198,50741,39765,37211,29866,22140,13370,28747,7860,2961,765,106,346,9,56,3454,4612,4529,4560,2334,518,433,446,655,656,102,52,82,19903,68018,123877,118591,116933,117499,120434,123882,115402,116105,116601,115082,120026,123839,118318,120339,124010,114771,119038,115036,120894,125466,124247,117885,120324,113363,121590,116764,87962,120291,120939,104199,99739,110809,109304,105969,97771,99966,94202,94980,92233,94213,89847,91688,92581,89427,89991,92133,90462,88616,91149,87307,89773,86090,84495,87031,88713,81703,82880,82227,80269,81449,82555,80762,72817,88208,80128,79866,76550,76215,75511,78215,80556,83752,74655,80552,75447,71708,79056,77414,76667,80110,77054,75080,81007,80522,80588,75146,75778,71022,71798,75067,71785,74667,78063,75314,76449,77518,70857,74962,73335,74757,72386,70832,74265,71867,71693,73849,68057,70023,72280,70040,74121,72260,67963,65788,67369,65666,72933,73604,64340,64474,65811,66715,51083,63564,69820,62453,68306,61637,57248,56728,55435,55432,57821,59571,59122,65457,62635,66459,65283,65521,66324,64329,67516,69303,67340
    Pakistan,1761,1537,1455,1689,949,1879,1635,2236,2090,1910,2249,1791,1654,1347,2161,1232,1833,1814,1857,1482,1491,1591,1460,1556,1667,1682,1725,1440,1884,1348,1425,1334,1489,1489,1284,1436,1394,1572,1386,1621,1672,1586,1408,1576,1533,1309,1267,747,789,613,284,79,35,66,51,35,6,7,4,1,0,0,20,42,18,24,32,18,31,24,37,13,2,2,0,377,875,1976,1681,1584,1562,1603,1351,1334,2116,1484,1708,1816,1821,1960,2044,1666,1892,1958,2184,1962,2454,2019,2437,2953,1818,2121,2235,2169,1779,2173,1822,2109,1360,1781,1832,2481,2033,1708,1787,1803,2160,2153,2048,2138,1032,2244,1840,1658,1835,1660,1683,1787,2089,1636,1814,1531,1375,1528,1450,1428,1292,1601,1484,1537,1296,1369,1564,922,1954,1566,1570,1800,1636,1359,1629,1626,1894,1806,1833,874,1880,1888,1979,1982,1867,1897,1724,1736,1575,2220,1533,1649,2061,1722,1592,1716,1841,1856,1858,1845,1835,1715,1273,1758,1784,1921,1814,1582,1727,1773,1803,1728,1683,1770,1344,1925,1923,1825,2072,1943,1940,1828,2232,1822,1630,1816,1821,1857,2037,1702,1770,1739,1784,1646,1954,2095,1423,1847,1869,1885,1792,1934,1861,2342,1918,2009
    Sri Lanka,5180,4618,6180,4990,5330,5537,4870,6302,6216,5699,6162,6327,4809,5935,5815,5487,5302,5671,5870,4975,4927,5117,5023,5058,5414,5562,4979,4908,5203,6799,5194,5116,4490,5054,4900,4668,4706,4142,3850,4528,4400,4130,3723,3956,4671,4388,3438,3165,2923,2730,2244,1697,1112,544,514,153,19,15,5,2,2,5,122,266,135,213,78,47,33,33,31,18,3,5,1,1885,4209,8503,9370,9860,8034,8527,8003,7926,8446,7287,7319,8180,8164,7977,7564,8099,9369,9709,9869,10513,9570,9667,10473,9535,9560,10116,10281,9554,9466,9542,9358,8195,8544,9688,8458,8458,7716,7812,9638,9201,8023,7946,8799,8552,7396,8075,8607,8113,8538,8157,7537,7592,8359,7771,7101,7462,7515,8390,7446,9355,7651,7418,6303,7938,7283,7928,7753,6368,8105,7776,7460,7056,7416,7786,8110,6849,7264,7621,8363,7846,7726,8009,8416,9163,7905,7990,7493,7194,7581,6912,6582,6467,7378,6157,6864,6453,7052,7070,7859,7182,6765,7010,6287,8269,6342,6673,6540,6858,7323,6888,7237,6327,6565,6365,6490,6642,6787,6975,6819,6446,5915,5811,5607,6617,6538,6235,6275,6128,5762,5166,5453,5112,5394,5745,6524,6117,6318,5495,6745,6518,6562,7049,6629,6994,7516,7635
    Americas,75540,73070,90449,88016,80176,84797,84335,82852,81636,74654,78871,79966,78232,70561,82137,83279,82277,84792,75242,81696,80413,79354,79260,76215,76918,78005,76336,75416,76499,71409,74610,76863,69525,76876,73567,75486,70259,74643,67657,65027,65814,60501,59616,59432,56842,57030,51536,43887,36234,26729,16248,5738,4306,2448,4032,2194,1240,1079,1173,722,240,369,747,506,510,555,573,517,574,560,595,413,150,42,14,13376,49456,85754,87427,82421,77819,82906,84218,83019,79696,77185,80317,77403,74308,75748,74800,75162,70335,73231,71499,72173,68986,69848,73661,72119,72360,67135,65460,73718,61156,63457,62224,63052,63569,61188,59074,60995,62411,61731,61095,60394,59055,56232,55740,56227,55262,56866,55792,53575,55060,55799,55275,55443,58137,55240,56400,53710,54059,53631,52174,54696,54578,54728,53760,52988,51776,54940,53421,51517,49223,51473,51645,56458,56037,52337,52482,52798,53140,55461,54743,53095,54410,52707,54957,52340,52917,54005,54807,53456,52673,52588,50339,51167,50859,51409,49312,51016,51255,49114,45937,48851,48876,47933,45882,48112,46418,47388,47316,48406,44606,45265,43467,44288,46140,44595,46026,44505,45240,44065,45067,40390,41240,41706,40839,43717,41302,39507,41123,39579,38440,37362,38599,36194,34966,37258,39746,39541,41739,40196,40997,42284,42050,42766,42630,44387,44787,44313
    Canada,11249,11278,14514,13843,12739,14038,14111,12737,13267,12107,12613,12702,11588,11644,12407,13467,12671,13358,12257,13037,12942,12344,11936,11936,12289,11955,12081,9531,9984,10226,10454,11730,10396,11170,10878,10810,10111,13367,10122,9662,10269,8889,8468,8727,8531,8756,6684,5888,5480,3811,2160,663,417,369,680,212,146,186,78,60,21,29,54,58,58,68,63,58,58,62,42,56,15,0,0,1799,7042,11505,12500,10814,10997,11265,12185,11656,10918,11981,12276,11830,10690,11275,11720,11492,11020,11143,10976,10383,10129,10346,11414,10583,10408,10062,8901,9754,8982,8957,8834,8890,8943,8538,8206,8513,8682,8351,8520,8732,8522,8022,7914,8389,7590,8171,8079,7815,8222,8359,8404,8296,9116,8044,7803,7631,8257,7577,7438,7844,7824,8205,7792,7484,7583,7846,7671,7539,7592,7796,7069,8166,8176,7940,8062,7889,7941,7716,7981,7714,7809,7681,7864,7257,7480,7751,7594,7555,7617,7570,7169,7481,7172,7080,7293,7583,7114,6907,6491,7665,7278,7032,6942,7076,6786,7048,7170,7317,6071,6557,6488,6239,6475,6610,6778,6559,6533,6331,6828,5592,5765,5745,5718,6048,5994,5619,5860,5639,5908,5793,6090,5748,5840,5938,6382,6555,6973,6257,6188,6765,6704,6714,6453,6810,6965,7179
