_id,Year,Month,Aircraft_Arrival,Aircraft_Departure,Aircraft_Total,Passenger_Arrival,Passenger_Departures,Passenger_Transit,Passenger_Total,AirMail_Incoming,AirMail_Outgoing,AirMail_Total,Cargo_Total_Import,Cargo_Total_Export,Cargo_Total
1,2015,2015-01,"14,384","14,396","28,780","2,243,305","2,112,813","64,004","4,420,122","1,193.62","1,614.88","2,808.50","81,867.90","69,946.38","151,814.28"
2,2015,2015-02,"13,249","13,242","26,491","2,018,729","2,056,989","45,639","4,121,357",974.9702,"1,277.43","2,252.40","75,576.73","60,388.68","135,965.42"
3,2015,2015-03,"14,390","14,403","28,793","2,237,167","2,245,963","51,989","4,535,119","1,112.62","1,485.10","2,597.72","89,020.39","73,639.48","162,659.86"
4,2015,2015-04,"14,126","14,130","28,256","2,181,441","2,151,585","58,355","4,391,381","1,095.82","1,391.80","2,487.62","83,906.47","69,541.16","153,447.64"
5,2015,2015-05,"14,519","14,523","29,042","2,177,764","2,250,744","51,753","4,480,261","1,183.51","1,523.83","2,707.34","86,950.64","70,095.57","157,046.21"
6,2015,2015-06,"14,265","14,266","28,531","2,372,653","2,278,717","48,219","4,699,589","1,140.09","1,465.46","2,605.55","82,190.53","69,112.98","151,303.51"
7,2015,2015-07,"14,699","14,713","29,412","2,453,899","2,381,169","58,506","4,893,574","1,176.74","1,526.42","2,703.16","83,093.37","64,433.98","147,527.35"
8,2015,2015-08,"14,814","14,792","29,606","2,453,913","2,447,055","54,333","4,955,301","1,213.24","1,512.37","2,725.61","82,970.11","68,677.34","151,647.45"
9,2015,2015-09,"14,232","14,232","28,464","2,177,750","2,192,314","51,490","4,421,554","1,257.64","1,600.69","2,858.33","84,352.06","70,706.09","155,058.15"
10,2015,2015-10,"14,803","14,807","29,610","2,275,334","2,278,858","46,597","4,600,789","1,337.24","1,861.80","3,199.05","88,226.57","74,268.85","162,495.42"
11,2015,2015-11,"14,365","14,364","28,729","2,255,303","2,343,936","37,513","4,636,752","1,328.00","1,978.90","3,306.89","87,839.11","72,643.11","160,482.22"
12,2015,2015-12,"15,306","15,315","30,621","2,643,838","2,604,316","45,011","5,293,165","1,446.31","2,207.89","3,654.20","89,302.02","74,337.00","163,639.02"
13,2016,2016-01,"15,072","15,073","30,145","2,490,196","2,319,262","50,698","4,860,156","1,568.85","1,486.17","3,055.02","87,272.73","70,586.25","157,858.98"
14,2016,2016-02,"14,260","14,258","28,518","2,272,357","2,293,676","35,993","4,602,026",996.177,"1,561.81","2,557.99","75,343.33","60,752.71","136,096.05"
15,2016,2016-03,"15,061","15,064","30,125","2,437,156","2,422,486","43,125","4,902,767","1,248.63","2,032.33","3,280.96","94,264.24","76,918.24","171,182.48"
16,2016,2016-04,"14,722","14,738","29,460","2,384,191","2,366,216","43,255","4,793,662","1,254.22","2,031.69","3,285.91","90,374.06","74,156.96","164,531.01"
17,2016,2016-05,"15,114","15,107","30,221","2,366,789","2,377,533","37,596","4,781,918","1,186.82","1,862.01","3,048.83","88,514.77","68,997.95","157,512.71"
18,2016,2016-06,"14,672","14,673","29,345","2,425,547","2,371,241","41,519","4,838,307","1,119.70","1,698.34","2,818.03","89,694.70","73,375.74","163,070.44"
19,2016,2016-07,"15,392","15,401","30,793","2,609,912","2,521,603","49,593","5,181,108","1,110.49","1,670.00","2,780.49","89,264.02","72,182.18","161,446.20"
