date,value
1985-01,40.955
1985-02,41.111
1985-03,39.278
1985-04,38.272
1985-05,37.23
1985-06,40.789
1985-07,36.703
1985-08,36.435
1985-09,37.55
1985-10,37.258
1985-11,37.117
1985-12,35.657
1986-01,37.285
1986-02,36.115
1986-03,35.089
1986-04,35.053
1986-05,35.332
1986-06,35.236
1986-07,35.632
1986-08,36.337
1986-09,36.371
1986-10,32.833
1986-11,33.759
1986-12,34.325
1987-01,33.602
1987-02,35.094
1987-03,37.111
1987-04,37.057
1987-05,37.99
1987-06,38.135
1987-07,37.62
1987-08,38.918
1987-09,37.625
1987-10,40.153
1987-11,39.648
1987-12,41.178
1988-01,42.112
1988-02,40.946
1988-03,41.857
1988-04,42.485
1988-05,42.711
1988-06,42.978
1988-07,43.886
1988-08,43.2
1988-09,42.75
1988-10,44.066
1988-11,45.184
1988-12,45.358
1989-01,46.228
1989-02,46.834
1989-03,47.698
1989-04,48.033
1989-05,47.591
1989-06,48.028
1989-07,49.932
1989-08,49.508
1989-09,50.96
1989-10,49.726
1989-11,50.318
1989-12,50.347
1990-01,50.856
1990-02,53.778
1990-03,52.943
1990-04,52.349
1990-05,53.338
1990-06,52.406
1990-07,52.445
1990-08,53.654
1990-09,51.266
1990-10,53.757
1990-11,54.231
1990-12,54.172
1991-01,53.54
1991-02,50.603
1991-03,50.412
1991-04,54.342
1991-05,54.2
1991-06,57.355
1991-07,55.82
1991-08,55.88
1991-09,56.597
1991-10,56.827
1991-11,57.197
1991-12,57.498
1992-01,57.93
1992-02,58.906
1992-03,56.729
1992-04,59.805
1992-05,58.496
1992-06,59.203
1992-07,59.152
1992-08,59.434
1992-09,60.844
1992-10,59.565
1992-11,59.479
1992-12,58.609
1993-01,60.147
1993-02,61.278
1993-03,61.665
1993-04,60.812
1993-05,62.182
1993-06,64.268
1993-07,63.369
1993-08,64.823
1993-09,63.333
1993-10,64.801
1993-11,63.397
1993-12,65.196
1994-01,65.556
1994-02,65.925
1994-03,67.536
1994-04,66.085
1994-05,66.015
1994-06,63.767
1994-07,66.585
1994-08,65.836
1994-09,68.007
1994-10,66.971
1994-11,67.564
1994-12,67.003
1995-01,67.786
1995-02,67.689
1995-03,68.29
1995-04,68.131
1995-05,70.169
1995-06,69.106
1995-07,70.758
1995-08,71.108
1995-09,71.511
1995-10,70.843
1995-11,71.06
1995-12,71.945
1996-01,71.982
1996-02,72.443
1996-03,70.935
1996-04,72.886
1996-05,72.136
1996-06,73.077
1996-07,73.097
1996-08,73.021
1996-09,73.056
1996-10,74.493
1996-11,75.616
1996-12,75.774
1997-01,75.672
1997-02,77.125
1997-03,77.999
1997-04,76.956
1997-05,75.644
1997-06,78.56
1997-07,77.628
1997-08,77.218
1997-09,78.911
1997-10,77.088
1997-11,76.165
1997-12,77.366
1998-01,75.847
1998-02,76.741
1998-03,73.609
1998-04,73.048
1998-05,73.997
1998-06,70.283
1998-07,71.052
1998-08,71.964
1998-09,68.499
1998-10,72.266
1998-11,70.487
1998-12,70.916
1999-01,70.605
1999-02,67.275
1999-03,71.498
1999-04,71.894
1999-05,72.325
1999-06,74.499
1999-07,71.349
1999-08,70.463
1999-09,72.275
1999-10,74.28
1999-11,74.978
1999-12,73.545
2000-01,74.512
2000-02,74.711
2000-03,74.94
2000-04,76.013
2000-05,76.915
2000-06,75.685
2000-07,76.688
2000-08,77.353
2000-09,80.68
2000-10,78.882
2000-11,80.229
2000-12,79.565
2001-01,78.704
2001-02,79.393
2001-03,79.369
2001-04,77.432
2001-05,78.896
2001-06,78.666
2001-07,78.798
2001-08,77.976
2001-09,73.742
2001-10,73.505
2001-11,73.187
2001-12,73.187
2002-01,73.256
2002-02,73.794
2002-03,75.719
2002-04,74.135
2002-05,73.132
2002-06,72.033
2002-07,72.064
2002-08,71.966
2002-09,73.225
2002-10,72.793
2002-11,72.085
2002-12,73.061
2003-01,72.826
2003-02,70.629
2003-03,70.427
2003-04,54.153
2003-05,57.947
2003-06,63.483
2003-07,65.736
2003-08,68.593
2003-09,71.364
2003-10,74.053
2003-11,73.081
2003-12,71.722
2004-01,70.706
2004-02,71.782
2004-03,72.46
2004-04,71.311
2004-05,70.752
2004-06,71.662
2004-07,70.919
2004-08,67.896
2004-09,72.738
2004-10,71.918
2004-11,72.26
2004-12,71.937
2005-01,73.16
2005-02,74.15
2005-03,73.422
2005-04,73.276
2005-05,73.311
2005-06,73.264
2005-07,74.622
2005-08,75.527
2005-09,72.287
2005-10,71.311
2005-11,72.626
2005-12,74.58
2006-01,74.906
2006-02,79.201
2006-03,75.715
2006-04,76.834
2006-05,77.473
2006-06,75.768
2006-07,77.081
2006-08,77.253
2006-09,75.209
2006-10,77.151
2006-11,77.448
2006-12,77.368
2007-01,78.594
2007-02,78.127
2007-03,79.597
2007-04,79.22
2007-05,79.795
2007-06,82.46
2007-07,81.877
2007-08,83.894
2007-09,81.822
2007-10,83.065
2007-11,83.682
2007-12,85.453
2008-01,83.615
2008-02,87.772
2008-03,86.068
2008-04,86.798
2008-05,88.026
2008-06,86.797
2008-07,87.767
2008-08,87.106
2008-09,88.483
2008-10,90.17
2008-11,87.564
2008-12,87.114
2009-01,85.592
2009-02,83.499
2009-03,84.998
2009-04,84.682
2009-05,83.218
2009-06,84.337
2009-07,83.952
2009-08,85.295
2009-09,85.524
2009-10,85.478
2009-11,84.645
2009-12,87.591
2010-01,88.102
2010-02,88.569
2010-03,87.836
2010-04,89.853
2010-05,90.387
2010-06,89.19
2010-07,89.526
2010-08,90.385
2010-09,91.188
2010-10,92.167
2010-11,92.238
2010-12,92.348
2011-01,93.058
2011-02,94.049
2011-03,94.3
2011-04,94.714
2011-05,96.139
2011-06,96.985
2011-07,97.68
2011-08,96.189
2011-09,96.431
2011-10,96.701
