name,status,est_year,stalls
Commonwealth Crescent Market,Existing,1965.0,39.0
Tiong Bahru Market,Existing,,83.0
Golden Mile Food Centre,Existing,1975.0,112.0
Yew Tee Hawker Centre,Under Construction,2027.0,40.0
Dunman Food Centre,Existing,1974.0,30.0
Beo Crescent Market,Existing,1965.0,32.0
Newton Food Centre,Existing,1971.0,83.0
Adam Road Food Centre,Existing,1974.0,32.0
Kallang Estate Fresh Market and Food Centre,Existing,1959.0,16.0
New Market Road Blk 32 (People's Park Food Centre),Existing,1965.0,87.0
North Bridge Road Market,Existing,1973.0,37.0
Holland Village Market and Food Centre,Existing,,21.0
Chomp Chomp Food Centre,Existing,1972.0,36.0
Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),Existing,,60.0
Jurong West Street 52 Blk 505,Existing,,60.0
Marine Terrace Blk 50A (50A Marine Terrace),Existing,,24.0
Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),Existing,,55.0
Kampung Admiralty Hawker Centre,Existing (new),,43.0
Market Street Hawker Centre,Existing (replacement),,53.0
Marsiling Lane Blk 20/21,Existing,,52.0
Marsiling Mall Hawker Centre,Existing (replacement),,70.0
Mei Chin Road Blk 159 (Mei Chin Road Market),Existing,,47.0
New Upper Changi Road Blk 208B,Existing,,70.0
New Upper Changi Road Blk 58,Existing,,48.0
Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),Existing,,168.0
Pasir Ris Central Hawker Centre,Existing (new),,42.0
Queen Street Blk 270 (Albert Centre),Existing,,86.0
Redhill Lane Blk 79 (Redhill Market),Existing,,0.0
Redhill Lane Blk 85 (Redhill Food Centre),Existing,,96.0
Sims Place Blk 49 (Sims Vista Market and Food Centre),Existing,,66.0
Smith Street Blk 335 (Chinatown Complex Market),Existing,,226.0
Taman Jurong Market and Food Centre,Existing,,122.0
Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),Existing,,45.0
Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),Existing,,28.0
Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),Existing,,40.0
Telok Blangah Drive Blk 82 (Telok Blangah Market),Existing,,0.0
Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),Existing,,24.0
Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),Existing,,10.0
Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),Existing,,40.0
Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),Existing,,56.0
Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),Existing,,52.0
Toa Payoh Lorong 4 Blk 93,Existing,,28.0
Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),Existing,,61.0
Toa Payoh Lorong 5 Blk 75,Existing,,36.0
Shunfu Road Blk 320 (Shunfu Mart),Existing,,31.0
Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),Existing,,10.0
Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),Existing,,40.0
Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),Existing,,39.0
Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),Existing,,50.0
Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),Existing,,40.0
Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),Existing,,52.0
Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),Existing,,45.0
Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),Existing,,29.0
Bedok North Street 1 Blk 216,Existing,,82.0
Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),Existing,,42.0
Bedok North Street 3 Blk 538,Existing,,40.0
Bedok North Street 4 Blk 85 (85 Fengshan Centre),Existing,,72.0
Bedok Reservoir Road Blk 630,Existing,,36.0
Bedok South Road Blk 16,Existing,,64.0
Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),Existing,,88.0
Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),Existing,,119.0
Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),Existing,,72.0
Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),Existing,,79.0
Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),Existing,,57.0
Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),Existing,,84.0
Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),Existing,,88.0
Cambridge Road Blk 41A (Pek Kio Market and Food Centre),Existing,,50.0
Bukit Panjang Hawker Centre,Existing (new),,28.0
Changi Village Blk 2 and 3,Existing,,87.0
Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),Existing,,16.0
Circuit Road Blk 79/79A,Existing,,106.0
Ci Yuan Hawker Centre,Existing (new),,40.0
Circuit Road Blk 89,Existing,,40.0
