market,month,public_holidays,school_holidays,holidays
China,1,3.25,15.0,18.25
China,2,4.25,15.0,19.25
China,3,0.0,0.0,0.0
China,4,1.625,0.0,1.625
China,5,2.5,0.0,2.5
China,6,1.25,0.0,1.25
China,7,0.0,31.0,31.0
China,8,0.0,31.0,31.0
China,9,1.25,0.0,1.25
China,10,5.75,0.0,5.75
China,11,0.0,0.0,0.0
China,12,0.125,0.0,0.125
India,1,1.125,5.0,6.125
India,2,0.375,0.0,0.375
India,3,2.0,0.0,2.0
India,4,3.25,15.0,18.25
India,5,0.875,31.0,31.875
India,6,0.75,10.0,10.75
India,7,0.625,0.0,0.625
India,8,1.75,0.0,1.75
India,9,1.5,0.0,1.5
India,10,2.75,10.0,12.75
India,11,1.625,5.0,6.625
India,12,1.375,10.0,11.375
South Korea,1,2.5,20.0,22.5
South Korea,2,2.125,20.0,22.125
South Korea,3,1.125,0.0,1.125
South Korea,4,0.25,0.0,0.25
South Korea,5,2.75,0.0,2.75
South Korea,6,1.25,0.0,1.25
South Korea,7,0.0,15.0,15.0
South Korea,8,1.125,15.0,16.125
South Korea,9,2.5,0.0,2.5
South Korea,10,3.25,0.0,3.25
South Korea,11,0.0,0.0,0.0
South Korea,12,1.0,0.0,1.0
Thailand,1,2.75,0.0,2.75
Thailand,2,0.875,0.0,0.875
Thailand,3,0.375,15.0,15.375
Thailand,4,5.25,30.0,35.25
Thailand,5,3.5,0.0,3.5
Thailand,6,0.875,0.0,0.875
Thailand,7,3.25,0.0,3.25
Thailand,8,1.75,0.0,1.75
Thailand,9,0.0,0.0,0.0
Thailand,10,2.5,15.0,17.5
Thailand,11,0.0,0.0,0.0
Thailand,12,3.75,0.0,3.75
United Kingdom,1,1.25,0.0,1.25
United Kingdom,2,0.0,7.0,7.0
United Kingdom,3,0.375,0.0,0.375
United Kingdom,4,0.625,14.0,14.625
United Kingdom,5,2.125,0.0,2.125
United Kingdom,6,0.0,0.0,0.0
United Kingdom,7,0.0,10.0,10.0
United Kingdom,8,0.0,31.0,31.0
United Kingdom,9,0.0,0.0,0.0
United Kingdom,10,0.0,7.0,7.0
United Kingdom,11,0.0,0.0,0.0
United Kingdom,12,2.25,10.0,12.25
