year,type_of_goods,no_of_licenses
1981,Cooked Food,4521
1981,Market Produce,4216
1981,Piece and Sundries,1508
1982,Cooked Food,4340
1982,Market Produce,4158
1982,Piece and Sundries,1320
1983,Cooked Food,3863
1983,Market Produce,3560
1983,Piece and Sundries,983
1984,Cooked Food,3506
1984,Market Produce,3242
1984,Piece and Sundries,832
1985,Cooked Food,3127
1985,Market Produce,2906
1985,Piece and Sundries,742
1986,Cooked Food,3069
1986,Market Produce,2776
1986,Piece and Sundries,634
1987,Cooked Food,2994
1987,Market Produce,2642
1987,Piece and Sundries,618
1988,Cooked Food,2939
1988,Market Produce,2532
1988,Piece and Sundries,624
1989,Cooked Food,2825
1989,Market Produce,2420
1989,Piece and Sundries,568
1990,Cooked Food,2634
1990,Market Produce,2198
1990,Piece and Sundries,526
1991,Cooked Food,2357
1991,Market Produce,1856
1991,Piece and Sundries,476
1992,Cooked Food,2222
1992,Market Produce,1785
1992,Piece and Sundries,468
1993,Cooked Food,2140
1993,Market Produce,1698
1993,Piece and Sundries,448
1994,Cooked Food,2097
1994,Market Produce,1594
1994,Piece and Sundries,451
1995,Cooked Food,2001
1995,Market Produce,1504
1995,Piece and Sundries,450
1996,Cooked Food,1958
1996,Market Produce,1490
1996,Piece and Sundries,420
1997,Cooked Food,1909
1997,Market Produce,1471
1997,Piece and Sundries,487
1998,Cooked Food,1808
1998,Market Produce,1437
1998,Piece and Sundries,453
1999,Cooked Food,1697
1999,Market Produce,1238
1999,Piece and Sundries,434
2000,Cooked Food,1634
2000,Market Produce,1174
2000,Piece and Sundries,416
2001,Cooked Food,1627
2001,Market Produce,1107
2001,Piece and Sundries,407
2002,Cooked Food,1602
2002,Market Produce,1284
2002,Piece and Sundries,455
2003,Cooked Food,1454
2003,Market Produce,1129
2003,Piece and Sundries,656
2004,Cooked Food,7130
2004,Market Produce,6751
2004,Piece and Sundries,1981
2005,Cooked Food,5655
2005,Market Produce,6456
2005,Piece and Sundries,2994
2006,Cooked Food,5585
2006,Market Produce,6264
2006,Piece and Sundries,2497
2007,Cooked Food,5800
2007,Market Produce,5972
2007,Piece and Sundries,2647
2008,Cooked Food,5395
2008,Market Produce,5006
2008,Piece and Sundries,2497
2009,Cooked Food,5747
2009,Market Produce,5796
2009,Piece and Sundries,2753
2010,Cooked Food,5842
2010,Market Produce,5879
2010,Piece and Sundries,2749
2011,Cooked Food,5855
2011,Market Produce,5763
2011,Piece and Sundries,2687
2012,Cooked Food,5831
2012,Market Produce,5694
2012,Piece and Sundries,2640
2013,Cooked Food,5939
2013,Market Produce,5706
2013,Piece and Sundries,2582
2014,Cooked Food,6049
2014,Market Produce,5857
2014,Piece and Sundries,2560
2015,Cooked Food,5943
2015,Market Produce,5612
2015,Piece and Sundries,1885
