series,year,value
Asian Civilisations Museum (In-Person),1996,
Asian Civilisations Museum (In-Person),1995,
Asian Civilisations Museum (In-Person),1994,
Asian Civilisations Museum (In-Person),1993,
Asian Civilisations Museum (In-Person),1992,
Asian Civilisations Museum (In-Person),1991,
Asian Civilisations Museum (In-Person),1990,
Asian Civilisations Museum (In-Person),1989,
Asian Civilisations Museum (In-Person),1988,
Asian Civilisations Museum (In-Person),1987,
Asian Civilisations Museum (In-Person),1986,
Asian Civilisations Museum (In-Person),1985,
Asian Civilisations Museum (In-Person),1984,
Asian Civilisations Museum (In-Person),2024,405.7
Asian Civilisations Museum (In-Person),2023,417.0
Asian Civilisations Museum (In-Person),2022,318.2
Asian Civilisations Museum (In-Person),2021,207.1
Asian Civilisations Museum (In-Person),2020,182.6
Asian Civilisations Museum (In-Person),2019,670.3
Asian Civilisations Museum (In-Person),2018,524.9
Asian Civilisations Museum (In-Person),2017,488.6
Asian Civilisations Museum (In-Person),2016,534.3
Asian Civilisations Museum (In-Person),2015,349.6
Asian Civilisations Museum (In-Person),2014,423.2
Asian Civilisations Museum (In-Person),2013,452.4
Asian Civilisations Museum (In-Person),2012,524.8
Asian Civilisations Museum (In-Person),2011,814.4
Asian Civilisations Museum (In-Person),2010,777.3
Asian Civilisations Museum (In-Person),2009,739.0
Asian Civilisations Museum (In-Person),2008,697.8
Asian Civilisations Museum (In-Person),2007,575.1
Asian Civilisations Museum (In-Person),2006,437.8
Asian Civilisations Museum (In-Person),2005,276.8
Asian Civilisations Museum (In-Person),2004,225.8
Asian Civilisations Museum (In-Person),2003,147.2
Asian Civilisations Museum (In-Person),2002,72.0
Asian Civilisations Museum (In-Person),2001,70.3
Asian Civilisations Museum (In-Person),2000,71.3
Asian Civilisations Museum (In-Person),1999,141.6
Asian Civilisations Museum (In-Person),1998,85.9
Asian Civilisations Museum (In-Person),1997,47.7
National Museum Of Singapore (In-Person),1996,251.8
National Museum Of Singapore (In-Person),1995,293.0
National Museum Of Singapore (In-Person),1994,273.0
National Museum Of Singapore (In-Person),1993,243.2
National Museum Of Singapore (In-Person),1992,237.7
National Museum Of Singapore (In-Person),1991,266.9
National Museum Of Singapore (In-Person),1990,0.0
National Museum Of Singapore (In-Person),1989,0.0
National Museum Of Singapore (In-Person),1988,322.5
National Museum Of Singapore (In-Person),1987,348.9
National Museum Of Singapore (In-Person),1986,396.4
National Museum Of Singapore (In-Person),1985,406.9
National Museum Of Singapore (In-Person),1984,152.0
National Museum Of Singapore (In-Person),2024,1016.7
National Museum Of Singapore (In-Person),2023,1020.8
National Museum Of Singapore (In-Person),2022,759.5
National Museum Of Singapore (In-Person),2021,334.5
National Museum Of Singapore (In-Person),2020,430.9
National Museum Of Singapore (In-Person),2019,1099.3
National Museum Of Singapore (In-Person),2018,959.6
National Museum Of Singapore (In-Person),2017,901.5
National Museum Of Singapore (In-Person),2016,777.4
National Museum Of Singapore (In-Person),2015,774.6
National Museum Of Singapore (In-Person),2014,902.1
National Museum Of Singapore (In-Person),2013,1199.0
National Museum Of Singapore (In-Person),2012,885.8
National Museum Of Singapore (In-Person),2011,932.6
National Museum Of Singapore (In-Person),2010,847.1
National Museum Of Singapore (In-Person),2009,858.0
National Museum Of Singapore (In-Person),2008,871.8
National Museum Of Singapore (In-Person),2007,675.1
National Museum Of Singapore (In-Person),2006,158.7
National Museum Of Singapore (In-Person),2005,91.4
National Museum Of Singapore (In-Person),2004,87.6
National Museum Of Singapore (In-Person),2003,109.1
National Museum Of Singapore (In-Person),2002,291.2
National Museum Of Singapore (In-Person),2001,267.8
National Museum Of Singapore (In-Person),2000,308.7
National Museum Of Singapore (In-Person),1999,335.1
National Museum Of Singapore (In-Person),1998,242.5
National Museum Of Singapore (In-Person),1997,262.6
Singapore Art Museum (In-Person),1996,104.8
Singapore Art Museum (In-Person),1995,
Singapore Art Museum (In-Person),1994,
Singapore Art Museum (In-Person),1993,
Singapore Art Museum (In-Person),1992,
Singapore Art Museum (In-Person),1991,
Singapore Art Museum (In-Person),1990,
Singapore Art Museum (In-Person),1989,
Singapore Art Museum (In-Person),1988,
Singapore Art Museum (In-Person),1987,
Singapore Art Museum (In-Person),1986,
Singapore Art Museum (In-Person),1985,
Singapore Art Museum (In-Person),1984,
Singapore Art Museum (In-Person),2024,1536.7
Singapore Art Museum (In-Person),2023,1122.7
Singapore Art Museum (In-Person),2022,678.2
Singapore Art Museum (In-Person),2021,596.2
Singapore Art Museum (In-Person),2020,402.0
Singapore Art Museum (In-Person),2019,791.1
Singapore Art Museum (In-Person),2018,519.4
Singapore Art Museum (In-Person),2017,414.7
Singapore Art Museum (In-Person),2016,732.9
Singapore Art Museum (In-Person),2015,903.4
Singapore Art Museum (In-Person),2014,743.7
Singapore Art Museum (In-Person),2013,729.0
Singapore Art Museum (In-Person),2012,656.1
Singapore Art Museum (In-Person),2011,636.6
Singapore Art Museum (In-Person),2010,639.7
Singapore Art Museum (In-Person),2009,743.6
Singapore Art Museum (In-Person),2008,577.9
Singapore Art Museum (In-Person),2007,292.8
Singapore Art Museum (In-Person),2006,314.3
Singapore Art Museum (In-Person),2005,346.5
Singapore Art Museum (In-Person),2004,337.9
Singapore Art Museum (In-Person),2003,149.4
Singapore Art Museum (In-Person),2002,127.5
Singapore Art Museum (In-Person),2001,137.8
Singapore Art Museum (In-Person),2000,133.8
Singapore Art Museum (In-Person),1999,180.9
Singapore Art Museum (In-Person),1998,183.6
Singapore Art Museum (In-Person),1997,159.4
Peranakan Museum (In-Person),1996,
Peranakan Museum (In-Person),1995,
Peranakan Museum (In-Person),1994,
Peranakan Museum (In-Person),1993,
Peranakan Museum (In-Person),1992,
Peranakan Museum (In-Person),1991,
Peranakan Museum (In-Person),1990,
Peranakan Museum (In-Person),1989,
Peranakan Museum (In-Person),1988,
Peranakan Museum (In-Person),1987,
Peranakan Museum (In-Person),1986,
Peranakan Museum (In-Person),1985,
Peranakan Museum (In-Person),1984,
Peranakan Museum (In-Person),2024,167.4
Peranakan Museum (In-Person),2023,164.6
Peranakan Museum (In-Person),2022,0.0
Peranakan Museum (In-Person),2021,0.0
Peranakan Museum (In-Person),2020,0.0
Peranakan Museum (In-Person),2019,59.5
Peranakan Museum (In-Person),2018,213.2
Peranakan Museum (In-Person),2017,473.2
Peranakan Museum (In-Person),2016,508.3
Peranakan Museum (In-Person),2015,475.7
Peranakan Museum (In-Person),2014,417.1
Peranakan Museum (In-Person),2013,373.9
Peranakan Museum (In-Person),2012,269.9
Peranakan Museum (In-Person),2011,234.4
Peranakan Museum (In-Person),2010,224.8
Peranakan Museum (In-Person),2009,270.8
Peranakan Museum (In-Person),2008,171.9
Peranakan Museum (In-Person),2007,
Peranakan Museum (In-Person),2006,
Peranakan Museum (In-Person),2005,
Peranakan Museum (In-Person),2004,
Peranakan Museum (In-Person),2003,
Peranakan Museum (In-Person),2002,
Peranakan Museum (In-Person),2001,
Peranakan Museum (In-Person),2000,
Peranakan Museum (In-Person),1999,
Peranakan Museum (In-Person),1998,
Peranakan Museum (In-Person),1997,
Singapore Discovery Centre (In-Person),1996,
Singapore Discovery Centre (In-Person),1995,
Singapore Discovery Centre (In-Person),1994,
Singapore Discovery Centre (In-Person),1993,
Singapore Discovery Centre (In-Person),1992,
Singapore Discovery Centre (In-Person),1991,
Singapore Discovery Centre (In-Person),1990,
Singapore Discovery Centre (In-Person),1989,
Singapore Discovery Centre (In-Person),1988,
Singapore Discovery Centre (In-Person),1987,
Singapore Discovery Centre (In-Person),1986,
Singapore Discovery Centre (In-Person),1985,
Singapore Discovery Centre (In-Person),1984,
Singapore Discovery Centre (In-Person),2024,
Singapore Discovery Centre (In-Person),2023,429.6
Singapore Discovery Centre (In-Person),2022,593.2
Singapore Discovery Centre (In-Person),2021,209.8
Singapore Discovery Centre (In-Person),2020,261.4
Singapore Discovery Centre (In-Person),2019,376.8
Singapore Discovery Centre (In-Person),2018,388.2
Singapore Discovery Centre (In-Person),2017,356.3
Singapore Discovery Centre (In-Person),2016,385.5
Singapore Discovery Centre (In-Person),2015,
Singapore Discovery Centre (In-Person),2014,
Singapore Discovery Centre (In-Person),2013,
Singapore Discovery Centre (In-Person),2012,
Singapore Discovery Centre (In-Person),2011,
Singapore Discovery Centre (In-Person),2010,
Singapore Discovery Centre (In-Person),2009,
Singapore Discovery Centre (In-Person),2008,
Singapore Discovery Centre (In-Person),2007,
Singapore Discovery Centre (In-Person),2006,
Singapore Discovery Centre (In-Person),2005,
Singapore Discovery Centre (In-Person),2004,
Singapore Discovery Centre (In-Person),2003,
Singapore Discovery Centre (In-Person),2002,
Singapore Discovery Centre (In-Person),2001,
Singapore Discovery Centre (In-Person),2000,
Singapore Discovery Centre (In-Person),1999,
Singapore Discovery Centre (In-Person),1998,
Singapore Discovery Centre (In-Person),1997,
Science Centre Singapore,1996,427.9
Science Centre Singapore,1995,542.9
Science Centre Singapore,1994,529.3
Science Centre Singapore,1993,533.9
Science Centre Singapore,1992,515.0
Science Centre Singapore,1991,543.1
Science Centre Singapore,1990,711.9
Science Centre Singapore,1989,767.4
Science Centre Singapore,1988,690.2
Science Centre Singapore,1987,620.1
Science Centre Singapore,1986,578.6
Science Centre Singapore,1985,558.6
Science Centre Singapore,1984,463.1
Science Centre Singapore,2024,963.3
Science Centre Singapore,2023,460.2
Science Centre Singapore,2022,409.6
Science Centre Singapore,2021,236.3
Science Centre Singapore,2020,243.1
Science Centre Singapore,2019,1027.7
Science Centre Singapore,2018,863.0
Science Centre Singapore,2017,874.7
Science Centre Singapore,2016,955.8
Science Centre Singapore,2015,1046.0
Science Centre Singapore,2014,952.3
Science Centre Singapore,2013,899.5
Science Centre Singapore,2012,969.2
Science Centre Singapore,2011,1053.8
Science Centre Singapore,2010,1125.5
Science Centre Singapore,2009,1059.4
Science Centre Singapore,2008,1039.2
Science Centre Singapore,2007,880.0
Science Centre Singapore,2006,989.0
Science Centre Singapore,2005,783.8
Science Centre Singapore,2004,806.4
Science Centre Singapore,2003,486.3
Science Centre Singapore,2002,515.7
Science Centre Singapore,2001,520.6
Science Centre Singapore,2000,489.6
Science Centre Singapore,1999,510.1
Science Centre Singapore,1998,469.4
Science Centre Singapore,1997,637.5
Mandai Bird Paradise,1996,
Mandai Bird Paradise,1995,
Mandai Bird Paradise,1994,
Mandai Bird Paradise,1993,
Mandai Bird Paradise,1992,
Mandai Bird Paradise,1991,
Mandai Bird Paradise,1990,
Mandai Bird Paradise,1989,
Mandai Bird Paradise,1988,
Mandai Bird Paradise,1987,
Mandai Bird Paradise,1986,
Mandai Bird Paradise,1985,
Mandai Bird Paradise,1984,
Mandai Bird Paradise,2024,955.1
Mandai Bird Paradise,2023,781.1
Mandai Bird Paradise,2022,
Mandai Bird Paradise,2021,
Mandai Bird Paradise,2020,
Mandai Bird Paradise,2019,
Mandai Bird Paradise,2018,
Mandai Bird Paradise,2017,
Mandai Bird Paradise,2016,
Mandai Bird Paradise,2015,
Mandai Bird Paradise,2014,
Mandai Bird Paradise,2013,
Mandai Bird Paradise,2012,
Mandai Bird Paradise,2011,
Mandai Bird Paradise,2010,
Mandai Bird Paradise,2009,
Mandai Bird Paradise,2008,
Mandai Bird Paradise,2007,
Mandai Bird Paradise,2006,
Mandai Bird Paradise,2005,
Mandai Bird Paradise,2004,
Mandai Bird Paradise,2003,
Mandai Bird Paradise,2002,
Mandai Bird Paradise,2001,
Mandai Bird Paradise,2000,
Mandai Bird Paradise,1999,
Mandai Bird Paradise,1998,
Mandai Bird Paradise,1997,
Night Safari,1996,
Night Safari,1995,
Night Safari,1994,
Night Safari,1993,
Night Safari,1992,
Night Safari,1991,
Night Safari,1990,
Night Safari,1989,
Night Safari,1988,
Night Safari,1987,
Night Safari,1986,
Night Safari,1985,
Night Safari,1984,
Night Safari,2024,1141.2
Night Safari,2023,887.2
Night Safari,2022,534.2
Night Safari,2021,299.7
Night Safari,2020,343.2
Night Safari,2019,1318.0
Night Safari,2018,1329.4
Night Safari,2017,1261.8
Night Safari,2016,1150.5
Night Safari,2015,1159.0
Night Safari,2014,1179.8
Night Safari,2013,1168.0
Night Safari,2012,1163.4
Night Safari,2011,1098.5
Night Safari,2010,1129.5
Night Safari,2009,1136.1
Night Safari,2008,1177.4
Night Safari,2007,1132.9
Night Safari,2006,1007.1
