date,value
1985-01,28.829
1985-02,29.646
1985-03,29.11
1985-04,23.514
1985-05,24.267
1985-06,22.311
1985-07,22.53
1985-08,22.914
1985-09,22.919
1985-10,22.12
1985-11,22.81
1985-12,22.649
1986-01,22.443
1986-02,23.776
1986-03,21.025
1986-04,20.365
1986-05,20.471
1986-06,20.617
1986-07,21.361
1986-08,20.975
1986-09,21.172
1986-10,21.289
1986-11,21.486
1986-12,22.515
1987-01,22.797
1987-02,23.944
1987-03,25.338
1987-04,26.972
1987-05,27.321
1987-06,29.057
1987-07,29.008
1987-08,28.933
1987-09,29.401
1987-10,29.492
1987-11,31.392
1987-12,29.787
1988-01,31.609
1988-02,31.271
1988-03,31.904
1988-04,33.046
1988-05,34.387
1988-06,34.807
1988-07,35.378
1988-08,36.883
1988-09,37.748
1988-10,39.961
1988-11,38.159
1988-12,43.293
1989-01,37.781
1989-02,43.181
1989-03,41.863
1989-04,38.503
1989-05,38.162
1989-06,37.463
1989-07,38.335
1989-08,39.653
1989-09,41.54
1989-10,39.443
1989-11,42.571
1989-12,43.571
1990-01,44.786
1990-02,43.9
1990-03,44.284
1990-04,48.101
1990-05,36.285
1990-06,38.54
1990-07,37.744
1990-08,38.558
1990-09,37.551
1990-10,41.067
1990-11,37.874
1990-12,43.439
1991-01,37.54
1991-02,39.681
1991-03,40.15
1991-04,40.296
1991-05,41.046
1991-06,40.062
1991-07,41.319
1991-08,42.577
1991-09,40.872
1991-10,46.171
1991-11,46.33
1991-12,41.266
1992-01,43.882
1992-02,44.749
1992-03,43.114
1992-04,44.648
1992-05,45.161
1992-06,49.593
1992-07,44.238
1992-08,45.591
1992-09,48.143
1992-10,44.081
1992-11,44.342
1992-12,45.171
1993-01,50.761
1993-02,47.13
1993-03,48.091
1993-04,46.78
1993-05,48.554
1993-06,51.365
1993-07,51.213
1993-08,49.547
1993-09,48.852
1993-10,48.66
1993-11,49.805
1993-12,53.142
1994-01,52.72
1994-02,53.131
1994-03,61.955
1994-04,42.559
1994-05,46.588
1994-06,47.174
1994-07,51.035
1994-08,49.047
1994-09,50.761
1994-10,50.346
1994-11,52.135
1994-12,51.609
1995-01,51.302
1995-02,51.2
1995-03,51.984
1995-04,50.767
1995-05,50.711
1995-06,49.864
1995-07,49.122
1995-08,52.607
1995-09,53.01
1995-10,52.789
1995-11,52.841
1995-12,51.872
1996-01,52.253
1996-02,55.486
1996-03,51.68
1996-04,50.758
1996-05,50.775
1996-06,50.989
1996-07,50.125
1996-08,50.736
1996-09,51.623
1996-10,53.522
1996-11,53.115
1996-12,57.414
1997-01,54.448
1997-02,49.994
1997-03,50.197
1997-04,51.148
1997-05,50.797
1997-06,51.235
1997-07,53.343
1997-08,51.22
1997-09,52.083
1997-10,50.142
1997-11,48.404
1997-12,48.698
1998-01,48.163
1998-02,49.568
1998-03,40.208
1998-04,53.337
1998-05,47.704
1998-06,46.232
1998-07,46.474
1998-08,45.757
1998-09,43.332
1998-10,45.208
1998-11,47.265
1998-12,51.17
1999-01,46.635
1999-02,47.898
1999-03,49.691
1999-04,50.932
1999-05,52.647
1999-06,55.892
1999-07,52.325
1999-08,57.397
1999-09,58.799
1999-10,59.273
1999-11,57.805
1999-12,58.149
2000-01,61.022
2000-02,60.496
2000-03,59.662
2000-04,64.033
2000-05,64.48
2000-06,68.543
2000-07,67.395
2000-08,66.691
2000-09,69.611
2000-10,64.858
2000-11,69.358
2000-12,68.543
2001-01,68.878
2001-02,70.525
2001-03,72.055
2001-04,68.043
2001-05,68.944
2001-06,67.596
2001-07,64.775
2001-08,72.144
2001-09,64.769
2001-10,65.663
2001-11,66.632
2001-12,65.914
2002-01,65.978
2002-02,64.499
2002-03,69.715
2002-04,66.029
2002-05,62.025
2002-06,62.89
2002-07,66.449
2002-08,66.783
2002-09,64.628
2002-10,66.088
2002-11,67.634
