date,value
1993-01,101.833
1993-02,77.109
1993-03,75.197
1993-04,65.293
1993-05,71.031
1993-06,62.562
1993-07,61.742
1993-08,59.283
1993-09,63.449
1993-10,68.299
1993-11,68.777
1993-12,85.92
1994-01,77.929
1994-02,69.05
1994-03,114.264
1994-04,42.004
1994-05,54.707
1994-06,45.419
1994-07,52.863
1994-08,56.483
1994-09,63.586
1994-10,59.83
1994-11,65.84
1994-12,76.699
1995-01,76.836
1995-02,55.39
1995-03,56.483
1995-04,50.131
1995-05,61.059
1995-06,52.317
1995-07,56.961
1995-08,55.39
1995-09,60.444
1995-10,64.337
1995-11,66.181
1995-12,76.699
1996-01,69.118
1996-02,70.552
1996-03,59.83
1996-04,52.18
1996-05,56.893
1996-06,49.312
1996-07,56.141
1996-08,51.292
1996-09,58.6
1996-10,61.537
1996-11,70.552
1996-12,81.685
1997-01,78.128
1997-02,75.416
1997-03,65.541
1997-04,61.677
1997-05,62.235
1997-06,53.399
1997-07,87.278
1997-08,68.136
1997-09,61.699
1997-10,59.429
1997-11,74.722
1997-12,71.924
1998-01,63.564
1998-02,49.369
1998-03,48.992
1998-04,47.238
1998-05,48.532
1998-06,40.835
1998-07,50.122
1998-08,43.777
1998-09,46.94
1998-10,48.156
1998-11,56.156
1998-12,66.073
1999-01,54.763
1999-02,52.978
1999-03,52.092
1999-04,46.105
1999-05,54.58
1999-06,58.294
1999-07,53.457
1999-08,53.484
1999-09,55.436
1999-10,52.218
1999-11,58.867
1999-12,69.825
2000-01,55.645
2000-02,50.333
2000-03,50.47
2000-04,46.932
2000-05,61.749
2000-06,47.034
2000-07,52.858
2000-08,50.604
2000-09,50.657
2000-10,52.157
2000-11,70.504
2000-12,71.54
2001-01,55.271
2001-02,56.224
2001-03,51.344
2001-04,49.691
2001-05,63.687
2001-06,53.473
2001-07,57.716
2001-08,50.009
2001-09,47.316
2001-10,50.726
2001-11,58.159
2001-12,77.291
2002-01,59.277
2002-02,50.762
2002-03,52.248
2002-04,54.574
2002-05,60.53
2002-06,54.076
2002-07,60.745
2002-08,51.488
2002-09,49.533
2002-10,56.832
2002-11,56.462
2002-12,75.88
2003-01,53.116
2003-02,42.662
2003-03,56.451
2003-04,40.428
2003-05,48.528
2003-06,68.327
2003-07,58.713
2003-08,53.245
2003-09,57.751
2003-10,67.295
2003-11,72.507
2003-12,85.815
2004-01,64.868
2004-02,65.968
2004-03,57.14
2004-04,59.532
2004-05,63.552
2004-06,63.064
2004-07,60.439
2004-08,56.863
2004-09,64.481
2004-10,69.795
2004-11,75.99
2004-12,86.482
2005-01,79.344
2005-02,68.849
2005-03,72.822
2005-04,66.451
2005-05,71.166
2005-06,68.423
2005-07,69.537
2005-08,67.475
2005-09,69.33
2005-10,78.02
2005-11,73.205
2005-12,96.651
2006-01,77.963
2006-02,69.99
2006-03,65.139
2006-04,67.528
2006-05,82.536
2006-06,64.169
2006-07,66.997
2006-08,68.539
2006-09,65.866
2006-10,78.251
2006-11,76.109
2006-12,101.942
2007-01,79.463
2007-02,78.003
2007-03,72.002
2007-04,70.591
2007-05,79.614
2007-06,96.944
2007-07,71.526
2007-08,72.671
2007-09,76.997
2007-10,84.115
2007-11,87.939
2007-12,106.854
2008-01,88.266
2008-02,78.943
2008-03,81.619
2008-04,70.568
2008-05,84.77
2008-06,76.227
2008-07,73.873
2008-08,82.171
2008-09,75.43
2008-10,85.118
2008-11,70.05
2008-12,92.485
2009-01,70.98
2009-02,70.638
2009-03,60.267
2009-04,66.63
2009-05,69.742
2009-06,65.719
2009-07,68.858
2009-08,74.149
2009-09,78.087
2009-10,79.535
2009-11,78.89
2009-12,107.943
2010-01,84.021
2010-02,79.462
2010-03,77.592
2010-04,76.72
2010-05,86.014
2010-06,80.739
2010-07,80.775
2010-08,82.228
2010-09,86.089
2010-10,90.946
2010-11,90.159
2010-12,117.754
2011-01,103.012
2011-02,92.548
2011-03,89.05
2011-04,99.009
2011-05,106.819
2011-06,106.32
2011-07,103.079
2011-08,102.002
2011-09,93.81
2011-10,103.186
2011-11,96.084
2011-12,131.297
2012-01,111.525
2012-02,98.399
2012-03,97.858
2012-04,102.787
2012-05,104.444
2012-06,96.328
2012-07,98.432
2012-08,99.888
2012-09,92.047
2012-10,99.89
2012-11,97.865
2012-12,131.368
2013-01,104.308
2013-02,107.433
2013-03,99.042
2013-04,109.751
2013-05,111.857
2013-06,100.018
2013-07,102.085
2013-08,101.32
2013-09,91.571
2013-10,96.003
2013-11,94.806
2013-12,123.473
2014-01,116.441
2014-02,109.944
2014-03,95.638
2014-04,92.326
2014-05,101.249
2014-06,90.35
2014-07,93.878
2014-08,98.623
2014-09,91.652
2014-10,101.71
2014-11,100.096
2014-12,123.702
2015-01,117.789
2015-02,111.052
2015-03,96.752
2015-04,93.483
2015-05,101.48
2015-06,88.26
2015-07,105.268
2015-08,110.895
2015-09,89.701
2015-10,93.968
2015-11,99.404
2015-12,124.882
2016-01,108.102
2016-02,103.469
2016-03,90.174
2016-04,83.831
2016-05,98.012
2016-06,87.007
2016-07,94.844
2016-08,96.818
2016-09,84.627
2016-10,95.659
2016-11,92.841
2016-12,125.787
2017-01,108.212
2017-02,100.195
2017-03,93.526
2017-04,95.218
2017-05,100.022
2017-06,100.964
2017-07,100.377
2017-08,98.885
2017-09,88.88
2017-10,99.569
2017-11,94.414
2017-12,119.74
2018-01,96.865
2018-02,108.625
2018-03,98.861
2018-04,95.993
2018-05,101.179
2018-06,95.086
2018-07,103.163
2018-08,105.828
2018-09,95.03
2018-10,93.681
2018-11,96.314
2018-12,112.896
2019-01,101.359
2019-02,99.026
2019-03,94.94
2019-04,94.041
2019-05,106.24
2019-06,90.655
2019-07,97.041
2019-08,96.62
2019-09,90.853
2019-10,100.609
2019-11,97.887
2019-12,123.301
2020-01,102.613
2020-02,73.549
2020-03,60.192
2020-04,12.255
2020-05,3.677
2020-06,41.883
2020-07,77.396
2020-08,85.272
2020-09,76.435
2020-10,76.38
2020-11,90.625
2020-12,110.881
2021-01,94.379
2021-02,99.765
2021-03,96.477
2021-04,91.545
2021-05,80.566
2021-06,74.817
2021-07,85.522
2021-08,91.945
2021-09,86.325
2021-10,98.227
2021-11,104.508
2021-12,140.636
2022-01,123.842
2022-02,108.986
2022-03,111.587
2022-04,116.002
2022-05,131.804
2022-06,117.171
2022-07,121.611
2022-08,120.608
2022-09,117.691
2022-10,127.579
2022-11,119.424
2022-12,166.652
2023-01,117.417
2023-02,110.549
2023-03,114.47
2023-04,122.474
2023-05,135.409
2023-06,124.552
2023-07,124.387
2023-08,131.448
2023-09,117.117
2023-10,134.623
2023-11,136.208
2023-12,176.954
2024-01,123.961
2024-02,129.876
2024-03,132.286
2024-04,121.564
2024-05,145.419
2024-06,122.481
2024-07,125.214
2024-08,134.776
2024-09,116.227
2024-10,142.669
2024-11,139.785
2024-12,165.147
2025-01,144.173
2025-02,133.485
2025-03,150.018
2025-04,137.242
2025-05,143.199
2025-06,129.608
2025-07,139.127
2025-08,153.799
2025-09,135.467
2025-10,179.309
2025-11,155.043
2025-12,176.889
