market,month,tmean
China,1,-2.763306451612903
China,2,-0.16150442477876106
China,3,8.090725806451612
China,4,15.586666666666668
China,5,21.551209677419354
China,6,26.722083333333334
China,7,27.48467741935484
China,8,25.727016129032258
China,9,21.464583333333334
China,10,13.048790322580645
China,11,4.520833333333333
China,12,-1.743548387096774
India,1,13.186693548387098
India,2,17.35929203539823
India,3,22.19193548387097
India,4,29.079583333333336
India,5,32.29032258064516
India,6,32.96875
India,7,29.530645161290323
India,8,28.79758064516129
India,9,28.392916666666668
India,10,25.91008064516129
India,11,20.81208333333333
India,12,15.239112903225807
South Korea,1,-2.916532258064516
South Korea,2,-0.7314159292035397
South Korea,3,5.249596774193549
South Korea,4,11.82
South Korea,5,17.12943548387097
South Korea,6,22.01833333333333
South Korea,7,25.43185483870968
South Korea,8,26.04758064516129
South Korea,9,21.328333333333333
South Korea,10,14.041129032258064
South Korea,11,6.119583333333334
South Korea,12,-0.8181451612903226
Thailand,1,26.45967741935484
Thailand,2,27.68407079646018
Thailand,3,29.24516129032258
Thailand,4,30.407916666666665
Thailand,5,29.783467741935485
Thailand,6,28.783333333333335
Thailand,7,28.133467741935487
Thailand,8,28.119758064516127
Thailand,9,27.64333333333333
Thailand,10,27.54032258064516
Thailand,11,27.234166666666667
Thailand,12,26.998790322580643
United Kingdom,1,4.6
United Kingdom,2,5.611061946902654
United Kingdom,3,7.422580645161291
United Kingdom,4,9.737916666666667
United Kingdom,5,13.318145161290323
United Kingdom,6,16.788333333333334
United Kingdom,7,18.552822580645163
United Kingdom,8,17.913709677419355
United Kingdom,9,15.413333333333332
United Kingdom,10,12.032661290322581
United Kingdom,11,8.06125
United Kingdom,12,7.318951612903225
