market,year,gdp_real,gdp_usd
Australia,2019,59181.2997904131,55194.7585097428
Australia,2020,58377.7670517802,51983.4523666382
Australia,2021,59465.535671364,60758.9044397144
Australia,2022,61200.4588964781,65169.5191118657
Australia,2023,61869.082498576,65058.3773146674
Australia,2024,61486.38147544,64609.9865116088
Australia,2025,61368.6075579929,65129.7227990563
China,2019,10356.2924890582,10342.9009524335
China,2020,10573.3794064211,10627.4637989619
China,2021,11469.3174514512,12887.4357242941
China,2022,11830.298767861,12970.6056414327
China,2023,12483.9791101249,12951.1782397043
China,2024,13119.1076099516,13293.1162269366
China,2025,13793.2056196996,13861.970224368
India,2019,1936.03067741063,2041.42863698585
India,2020,1806.50110583865,1907.04251637669
India,2021,1965.30943437472,2239.61384367482
India,2022,2098.21124476122,2279.98145719369
India,2023,2229.71491223037,2434.44826340989
India,2024,2366.8328910323,2591.9916607122
India,2025,2523.43601851376,2702.47987141553
Indonesia,2019,3850.90321738979,4106.94856160358
Indonesia,2020,3739.44906563161,3853.70288774146
Indonesia,2021,3850.68877253903,4287.17313995098
Indonesia,2022,4024.91225288391,4730.83484836107
Indonesia,2023,4192.64401034181,4876.2992959843
Indonesia,2024,4367.94741847938,4925.43644992666
Indonesia,2025,4555.18055720702,5059.62596411213
Japan,2019,36837.2583653113,41424.8655601543
Japan,2020,35363.2996951789,41098.9739004553
Japan,2021,36792.556429474,41580.739040705
Japan,2022,37448.3504824849,35548.2645222433
Japan,2023,37902.5492204411,35215.003535366
Japan,2024,37976.6371788298,33797.1014287876
Japan,2025,38619.3367073485,35951.0449549304
Malaysia,2019,10902.9834855856,10920.191763972
Malaysia,2020,10171.4657842762,9957.52626697613
Malaysia,2021,10388.2667120857,10903.1037480772
Malaysia,2022,11191.6511756943,11754.5678336248
Malaysia,2023,11445.3925275079,11386.0395636528
Malaysia,2024,11883.79127749,11874.4273684245
Malaysia,2025,12352.373269671,13124.5554178269
Philippines,2019,3575.88170922922,3400.78949767074
Philippines,2020,3198.66690008413,3227.57910235199
Philippines,2021,3350.97587587776,3484.38593882819
Philippines,2022,3577.70136573244,3548.06930572116
Philippines,2023,3744.69763802686,3804.08274131718
Philippines,2024,3926.14900894495,3985.29464669706
Philippines,2025,4065.88615171728,4170.72347271451
South Korea,2019,33496.3113815643,33826.9443301597
South Korea,2020,33215.9298928108,33645.7719545073
South Korea,2021,34792.9397214598,37518.4635305697
South Korea,2022,35809.0138105144,34822.4048404971
South Korea,2023,36347.7036392553,35674.095995632
South Korea,2024,37048.4264001496,36238.639908315
South Korea,2025,37469.6600233386,36226.9663637512
USA,2019,61047.9648238812,65227.9565911038
USA,2020,59533.609024416,64465.2971415748
USA,2021,63096.7856149746,71441.2319805947
USA,2022,64322.2332819139,78008.6895811877
USA,2023,65667.281580468,82586.7847707894
USA,2024,66856.5131698371,86169.6641581917
USA,2025,67945.6146497427,90026.5163005744
