market,iso,year,dep
China,CHN,2020,20334000.0
China,CHN,2019,154632000.0
China,CHN,2018,149720000.0
China,CHN,2017,143035000.0
China,CHN,2016,135130000.0
China,CHN,2015,127860000.0
China,CHN,2014,116593000.0
China,CHN,2013,98185000.0
China,CHN,2012,83182000.0
China,CHN,2011,70250000.0
China,CHN,2010,57386000.0
China,CHN,2009,47656000.0
China,CHN,2008,45844000.0
Indonesia,IDN,2020,2918000.0
Indonesia,IDN,2019,11689000.0
Indonesia,IDN,2018,9468000.0
Indonesia,IDN,2017,8856000.0
Indonesia,IDN,2016,8340000.0
Indonesia,IDN,2015,8176000.0
Indonesia,IDN,2014,8074000.0
Indonesia,IDN,2013,8025000.0
Indonesia,IDN,2012,7454000.0
Indonesia,IDN,2011,6750000.0
Indonesia,IDN,2010,6235000.0
Indonesia,IDN,2009,5053000.0
Indonesia,IDN,2008,5486000.0
Philippines,PHL,2020,1483000.0
Philippines,PHL,2016,5703000.0
Philippines,PHL,2015,5115000.0
Philippines,PHL,2014,3488000.0
Philippines,PHL,2009,3188000.0
Philippines,PHL,2008,3355000.0
India,IND,2019,26915000.0
India,IND,2018,26296000.0
India,IND,2017,23943000.0
India,IND,2016,21872000.0
India,IND,2015,20376000.0
India,IND,2014,18330000.0
India,IND,2013,16626000.0
India,IND,2012,14920000.0
India,IND,2011,13994000.0
India,IND,2010,12988000.0
India,IND,2009,11067000.0
India,IND,2008,10868000.0
Australia,AUS,2020,2832000.0
Australia,AUS,2019,11624000.0
Australia,AUS,2018,11403000.0
Australia,AUS,2017,10932000.0
Australia,AUS,2016,10390000.0
Australia,AUS,2015,9810000.0
Australia,AUS,2014,9480000.0
Australia,AUS,2013,9052000.0
Australia,AUS,2012,8212000.0
Australia,AUS,2011,7788000.0
Australia,AUS,2010,7103000.0
Australia,AUS,2009,6276000.0
Australia,AUS,2008,5808000.0
United States,USA,2020,60549898.4375
United States,USA,2019,170930093.75
United States,USA,2018,158445406.25
United States,USA,2017,148045000.0
United States,USA,2016,141526000.0
United States,USA,2015,130364000.0
United States,USA,2014,121699000.0
United States,USA,2013,118968000.0
United States,USA,2012,116329000.0
United States,USA,2011,114089000.0
United States,USA,2010,121574000.0
United States,USA,2009,129954000.0
United States,USA,2008,136148000.0
United Kingdom,GBR,2020,23827000.0
United Kingdom,GBR,2019,93086000.0
United Kingdom,GBR,2018,90571000.0
United Kingdom,GBR,2017,87242000.0
United Kingdom,GBR,2016,81757000.0
United Kingdom,GBR,2015,77619000.0
United Kingdom,GBR,2014,72204000.0
United Kingdom,GBR,2013,68959000.0
United Kingdom,GBR,2012,66858000.0
United Kingdom,GBR,2011,67493000.0
United Kingdom,GBR,2010,64647000.0
United Kingdom,GBR,2009,63513000.0
United Kingdom,GBR,2008,69011000.0
South Korea,KOR,2020,4276000.0
South Korea,KOR,2019,28714000.0
South Korea,KOR,2018,28696000.0
South Korea,KOR,2017,26496000.0
South Korea,KOR,2016,22383000.0
South Korea,KOR,2015,19310000.0
South Korea,KOR,2014,16081000.0
South Korea,KOR,2013,14846000.0
South Korea,KOR,2012,13737000.0
South Korea,KOR,2011,12694000.0
South Korea,KOR,2010,12488000.0
South Korea,KOR,2009,9494000.0
South Korea,KOR,2008,11996000.0
Japan,JPN,2020,3174000.0
Japan,JPN,2019,20081000.0
Japan,JPN,2018,18954000.0
Japan,JPN,2017,17889000.0
Japan,JPN,2016,17116000.0
Japan,JPN,2015,16214000.0
Japan,JPN,2014,16903000.0
Japan,JPN,2013,17473000.0
Japan,JPN,2012,18491000.0
Japan,JPN,2011,16994000.0
Japan,JPN,2010,16637000.0
Japan,JPN,2009,15446000.0
Japan,JPN,2008,15987000.0
Thailand,THA,2019,10446000.0
Thailand,THA,2018,9966000.0
Thailand,THA,2017,8963000.0
Thailand,THA,2016,8204000.0
Thailand,THA,2015,6794000.0
Thailand,THA,2014,6444000.0
Thailand,THA,2013,5970000.0
Thailand,THA,2012,5721000.0
Thailand,THA,2011,5397000.0
Thailand,THA,2010,5451000.0
Thailand,THA,2009,4653000.0
Thailand,THA,2008,3908000.0
Hong Kong,HKG,2020,8261000.0
Hong Kong,HKG,2019,94715000.0
Hong Kong,HKG,2018,92214000.0
Hong Kong,HKG,2017,91304000.0
Hong Kong,HKG,2016,91758000.0
Hong Kong,HKG,2015,89082000.0
Hong Kong,HKG,2014,84519000.0
Hong Kong,HKG,2013,84414000.0
Hong Kong,HKG,2012,85276000.0
Hong Kong,HKG,2011,84816000.0
Hong Kong,HKG,2010,84442000.0
Hong Kong,HKG,2009,81958000.0
Hong Kong,HKG,2008,81911000.0
